text,aspects,aspect_sentiment_pairs,aspect_opinion_pairs,triplets
Cưng lắm bé bé xinh xinh mà tiện và rẻ nữa. Nói chung thích,"['<IA>', '<IA>', '<IA>', '<IA>', '<IA>']","[('<IA>', 'POS'), ('<IA>', 'POS'), ('<IA>', 'POS'), ('<IA>', 'POS'), ('<IA>', 'POS')]","[('<IA>', 'Cưng lắm'), ('<IA>', 'bé bé xinh xinh'), ('<IA>', 'tiện'), ('<IA>', 'rẻ'), ('<IA>', 'thích')]","[('<IA>', 'Cưng lắm', 'POS'), ('<IA>', 'bé bé xinh xinh', 'POS'), ('<IA>', 'tiện', 'POS'), ('<IA>', 'rẻ', 'POS'), ('<IA>', 'thích', 'POS')]"
"Khăn tre sợi lông mềm, khổ rộng, dùng khá thích! Nên mua dùng cho gia đình!","['Khăn tre sợi lông', 'khổ', 'dùng']","[('Khăn tre sợi lông', 'POS'), ('khổ', 'POS'), ('dùng', 'POS')]","[('Khăn tre sợi lông', 'mềm,'), ('khổ', 'rộng,'), ('dùng', 'khá thích!')]","[('Khăn tre sợi lông', 'mềm,', 'POS'), ('khổ', 'rộng,', 'POS'), ('dùng', 'khá thích!', 'POS')]"
Giao hàng nhanh . Sách con nguyên bao bì . Rất ưng ý. Cám ơn TIKI,"['Giao hàng', 'bao bì', '<IA>']","[('Giao hàng', 'POS'), ('bao bì', 'POS'), ('<IA>', 'POS')]","[('Giao hàng', 'nhanh'), ('bao bì', 'con nguyên'), ('<IA>', 'Rất ưng ý.')]","[('Giao hàng', 'nhanh', 'POS'), ('bao bì', 'con nguyên', 'POS'), ('<IA>', 'Rất ưng ý.', 'POS')]"
Sản phẩm đúng như mô tả. Giao hàng chuẩn. Vận chuyển cẩn thận.,"['Sản phẩm', 'Giao hàng', 'Vận chuyển']","[('Sản phẩm', 'POS'), ('Giao hàng', 'POS'), ('Vận chuyển', 'POS')]","[('Sản phẩm', 'đúng như mô tả.'), ('Giao hàng', 'chuẩn.'), ('Vận chuyển', 'cẩn thận.')]","[('Sản phẩm', 'đúng như mô tả.', 'POS'), ('Giao hàng', 'chuẩn.', 'POS'), ('Vận chuyển', 'cẩn thận.', 'POS')]"
"Hàng tốt, rẻ, giao nhanh. Mua hàng trên tiki vẫn rất là ok.","['Hàng', 'giao', 'Mua hàng trên tiki']","[('Hàng', 'POS'), ('giao', 'POS'), ('Mua hàng trên tiki', 'POS')]","[('Hàng', 'tốt, rẻ,'), ('giao', 'nhanh.'), ('Mua hàng trên tiki', 'ok.')]","[('Hàng', 'tốt, rẻ,', 'POS'), ('giao', 'nhanh.', 'POS'), ('Mua hàng trên tiki', 'ok.', 'POS')]"
Xài rất thích. Giao hàng nhanh. Kkkkkkkkkkkkkkkkkkkkk,"['Xài', 'Giao hàng']","[('Xài', 'POS'), ('Giao hàng', 'POS')]","[('Xài', 'rất thích.'), ('Giao hàng', 'nhanh.')]","[('Xài', 'rất thích.', 'POS'), ('Giao hàng', 'nhanh.', 'POS')]"
gel vệ sinh siêu sạch tiện lợi dễ mang theo giá cả thì hợp lí,"['vệ sinh', '<IA>', 'mang theo', 'giá cả']","[('vệ sinh', 'POS'), ('<IA>', 'POS'), ('mang theo', 'POS'), ('giá cả', 'POS')]","[('vệ sinh', 'siêu sạch'), ('<IA>', 'tiện lợi'), ('mang theo', 'dễ'), ('giá cả', 'hợp lí')]","[('vệ sinh', 'siêu sạch', 'POS'), ('<IA>', 'tiện lợi', 'POS'), ('mang theo', 'dễ', 'POS'), ('giá cả', 'hợp lí', 'POS')]"
hàng giao sớm bao cẩn thận shipper lễ phép dễ thương 5*,"['hàng giao', 'bao', 'shipper']","[('hàng giao', 'POS'), ('bao', 'POS'), ('shipper', 'POS')]","[('hàng giao', 'sớm'), ('bao', 'cẩn thận'), ('shipper', 'lễ phép dễ thương')]","[('hàng giao', 'sớm', 'POS'), ('bao', 'cẩn thận', 'POS'), ('shipper', 'lễ phép dễ thương', 'POS')]"
ok sản phẩm đẹp áo mặc mát và nhẹ. mọi người lên mua.,"['<IA>', 'sản phẩm', 'mặc', 'mặc']","[('<IA>', 'POS'), ('sản phẩm', 'POS'), ('mặc', 'POS'), ('mặc', 'POS')]","[('<IA>', 'ok'), ('sản phẩm', 'đẹp'), ('mặc', 'mát'), ('mặc', 'nhẹ.')]","[('<IA>', 'ok', 'POS'), ('sản phẩm', 'đẹp', 'POS'), ('mặc', 'mát', 'POS'), ('mặc', 'nhẹ.', 'POS')]"
giao hàg nhanh chưk tới tgian trên tiki mà đã giao,['giao hàg'],"[('giao hàg', 'POS')]","[('giao hàg', 'nhanh')]","[('giao hàg', 'nhanh', 'POS')]"
"booby chan rất đep nha , viết nhân xét ma phải 2000 từ nữa chứ , rảnh ghê",['booby chan'],"[('booby chan', 'POS')]","[('booby chan', 'rất đep')]","[('booby chan', 'rất đep', 'POS')]"
"Giao hàng nhanh, bọc sản phẩm cẩn thận, chất lượng giống như quảng cáo","['Giao hàng', 'bọc sản phẩm', 'chất lượng']","[('Giao hàng', 'POS'), ('bọc sản phẩm', 'POS'), ('chất lượng', 'POS')]","[('Giao hàng', 'nhanh,'), ('bọc sản phẩm', 'cẩn thận,'), ('chất lượng', 'giống như quảng cáo')]","[('Giao hàng', 'nhanh,', 'POS'), ('bọc sản phẩm', 'cẩn thận,', 'POS'), ('chất lượng', 'giống như quảng cáo', 'POS')]"
