text,aspects,aspect_sentiment_pairs,aspect_opinion_pairs,triplets
mua xong mà bỏ nước vào thì k xịt đc. sửa dụng sao ạ,['xịt'],"[('xịt', 'NEG')]","[('xịt', 'k xịt đc.')]","[('xịt', 'k xịt đc.', 'NEG')]"
"Đường may ở mép viền không bền lắm, giặt qua 1 lần là bung ra 1 góc tất cả các tấm lót đều bị như vậy","['Đường may ở mép viền', 'giặt']","[('Đường may ở mép viền', 'NEG'), ('giặt', 'NEG')]","[('Đường may ở mép viền', 'không bền lắm,'), ('giặt', 'bung ra')]","[('Đường may ở mép viền', 'không bền lắm,', 'NEG'), ('giặt', 'bung ra', 'NEG')]"
"Quyển này đúng là siêu thất vọng, nhất là sau khi đã đọc Cô gái và Cafe",['Quyển này'],"[('Quyển này', 'NEG')]","[('Quyển này', 'siêu thất vọng,')]","[('Quyển này', 'siêu thất vọng,', 'NEG')]"
sản phẩm giao 3 lần đều ko đúng màu như trong hình! hàng vừa mỏng vừa xấu. thua xa hàng tui mua tại shop khác,"['giao', 'hàng', 'hàng', '<IA>']","[('giao', 'NEG'), ('hàng', 'NEG'), ('hàng', 'NEG'), ('<IA>', 'NEG')]","[('giao', 'ko đúng màu như trong hình!'), ('hàng', 'mỏng'), ('hàng', 'xấu.'), ('<IA>', 'thua xa hàng tui mua tại shop khác')]","[('giao', 'ko đúng màu như trong hình!', 'NEG'), ('hàng', 'mỏng', 'NEG'), ('hàng', 'xấu.', 'NEG'), ('<IA>', 'thua xa hàng tui mua tại shop khác', 'NEG')]"
"Trước giờ tớ rất ít khi mua sách của Tiki, nhưng lần nào mua hàng cũng được bọc kín, sách vẫn còn nguyên màng bọc. Nhưng lần này thật sự rất thất vọng. Sách nguyên bụi, cong mép, cũ và với 1 đứa",['Sách'],"[('Sách', 'NEG')]","[('Sách', 'nguyên bụi, cong mép, cũ')]","[('Sách', 'nguyên bụi, cong mép, cũ', 'NEG')]"
Tả dán mình mua lần này hương trong tả nghe rất nặng mùi rất khó chịu ko giống như những lần trước mình mua.,['hương trong tả'],"[('hương trong tả', 'NEG')]","[('hương trong tả', 'rất nặng mùi rất khó chịu')]","[('hương trong tả', 'rất nặng mùi rất khó chịu', 'NEG')]"
"Khăn hơi mỏng, chất liệu có vẻ khong thấm nước. Để về giặc rồi xài thử xem sao. Size này hơi nhỏ hiccc","['Khăn', 'chất liệu', 'Size này']","[('Khăn', 'NEG'), ('chất liệu', 'NEG'), ('Size này', 'NEG')]","[('Khăn', 'hơi mỏng,'), ('chất liệu', 'khong thấm nước.'), ('Size này', 'hơi nhỏ')]","[('Khăn', 'hơi mỏng,', 'NEG'), ('chất liệu', 'khong thấm nước.', 'NEG'), ('Size này', 'hơi nhỏ', 'NEG')]"
"Sản phẩm ghi thương hiệu mỹ sản xuất tại đài loan nhưng không có dấu hiệu nào là thương hiệu mỹ, sản phẩm là made in china chứ ko phải taiwan, lẫy nhựa không được chắc, khi đạp tăng độ nặng thì đạp dật ko nuột, lực thì yếu chắc chỉ cho con nít tập, mình cần đổi trả tiki liên hệ mình","['sản phẩm', 'lẫy nhựa', 'đạp', 'lực']","[('sản phẩm', 'NEG'), ('lẫy nhựa', 'NEG'), ('đạp', 'NEG'), ('lực', 'NEG')]","[('sản phẩm', 'là made in china chứ ko phải taiwan,'), ('lẫy nhựa', 'không được chắc,'), ('đạp', 'dật ko nuột,'), ('lực', 'yếu')]","[('sản phẩm', 'là made in china chứ ko phải taiwan,', 'NEG'), ('lẫy nhựa', 'không được chắc,', 'NEG'), ('đạp', 'dật ko nuột,', 'NEG'), ('lực', 'yếu', 'NEG')]"
"Đồng hồ có góc nhìn rất hẹp, nút cài đặt ko có tác dụng, không nên mua.","['góc nhìn', 'nút cài đặt', '<IA>']","[('góc nhìn', 'NEG'), ('nút cài đặt', 'NEG'), ('<IA>', 'NEG')]","[('góc nhìn', 'rất hẹp,'), ('nút cài đặt', 'ko có tác dụng,'), ('<IA>', 'không nên mua.')]","[('góc nhìn', 'rất hẹp,', 'NEG'), ('nút cài đặt', 'ko có tác dụng,', 'NEG'), ('<IA>', 'không nên mua.', 'NEG')]"
"nếu bạn là người đã quen với sự chủ động cho con trai và luôn phóng khoáng thì có lẽ lần đầu đọc hơi khó nuốt, nhưng sách này chính xác là điều các bạn nên làm theo, không chủ động, yêu thương bản thân và không lo lắng giúp đỡ cho anh ta, hãy mua để được khai sáng :)",['đọc'],"[('đọc', 'NEG')]","[('đọc', 'hơi khó nuốt,')]","[('đọc', 'hơi khó nuốt,', 'NEG')]"
"Hình mô tả có thuốc diệt mối, khi nhận hàng chỉ có mấy khúc gỗ, quá tệ....",['hàng'],"[('hàng', 'NEG')]","[('hàng', 'chỉ có mấy khúc gỗ, quá')]","[('hàng', 'chỉ có mấy khúc gỗ, quá', 'NEG')]"
"Gậy quá yếu , ko giống mô tả trong nội dung, đt để lên bị lỏng và ko đứng giống trong hình","['Gậy', 'đt để lên']","[('Gậy', 'NEG'), ('đt để lên', 'NEG')]","[('Gậy', 'quá yếu'), ('đt để lên', 'bị lỏng')]","[('Gậy', 'quá yếu', 'NEG'), ('đt để lên', 'bị lỏng', 'NEG')]"
