text,aspects,aspect_sentiment_pairs,aspect_opinion_pairs,triplets
"tốt,",[],[],[],[]
"nhiều thông tin hay, có giá trị",['thông tin'],"[('thông tin', 'POS')]","[('thông tin', 'nhiều thông tin hay, có giá trị')]","[('thông tin', 'nhiều thông tin hay, có giá trị', 'POS')]"
"Phần giao hàng của tiki không phải bàn cãi, nhanh, cẩn thận và chuyên nghiệp trong cung cách phục vụ.","['giao hàng', 'cung cách phục vụ.']","[('giao hàng', 'POS'), ('cung cách phục vụ.', 'POS')]","[('giao hàng', 'không phải bàn cãi, nhanh, cẩn thận và chuyên nghiệp'), ('cung cách phục vụ.', 'không phải bàn cãi, nhanh, cẩn thận và chuyên nghiệp')]","[('giao hàng', 'không phải bàn cãi, nhanh, cẩn thận và chuyên nghiệp', 'POS'), ('cung cách phục vụ.', 'không phải bàn cãi, nhanh, cẩn thận và chuyên nghiệp', 'POS')]"
"Về phần nội dung, câu chuyện không khiến người ta phải vắc óc nhiều, đọc thiên về giải trí nhưng nữ chính lại khiến người ta phải suy ngẫm.","['nội dung,']","[('nội dung,', 'POS')]","[('nội dung,', 'khiến người ta phải suy ngẫm.')]","[('nội dung,', 'khiến người ta phải suy ngẫm.', 'POS')]"
Rất đáng đọc.,['<IA>'],"[('<IA>', 'POS')]","[('<IA>', 'Rất đáng đọc.')]","[('<IA>', 'Rất đáng đọc.', 'POS')]"
Máy xài tốt......……,['Máy xài'],"[('Máy xài', 'POS')]","[('Máy xài', 'tốt......……')]","[('Máy xài', 'tốt......……', 'POS')]"
"chạy êm..........,",['chạy'],"[('chạy', 'POS')]","[('chạy', 'êm..........,')]","[('chạy', 'êm..........,', 'POS')]"
chức năng đo độ ẩm pro.,['chức năng đo độ ẩm'],"[('chức năng đo độ ẩm', 'POS')]","[('chức năng đo độ ẩm', 'pro.')]","[('chức năng đo độ ẩm', 'pro.', 'POS')]"
ko dùng đc nút hẹn giờ.,['nút hẹn giờ.'],"[('nút hẹn giờ.', 'NEG')]","[('nút hẹn giờ.', 'ko dùng đc')]","[('nút hẹn giờ.', 'ko dùng đc', 'NEG')]"
Sản phẩm đáng mua,['Sản phẩm'],"[('Sản phẩm', 'POS')]","[('Sản phẩm', 'đáng mua')]","[('Sản phẩm', 'đáng mua', 'POS')]"
