text,aspects,aspect_sentiment_pairs,aspect_opinion_pairs,triplets
Hiện nay còn chương trình mua 2 enfa 4 tặng xe ko bạn ơi,['chương trình mua 2 enfa 4 tặng xe'],"[('chương trình mua 2 enfa 4 tặng xe', 'NEU')]","[('chương trình mua 2 enfa 4 tặng xe', '<IO>')]","[('chương trình mua 2 enfa 4 tặng xe', '<IO>', 'NEU')]"
Mã J/A  của Nhật có được bảo hành chính hảng Apple không Tiki ?,['bảo hành chính hảng Apple'],"[('bảo hành chính hảng Apple', 'NEU')]","[('bảo hành chính hảng Apple', '<IO>')]","[('bảo hành chính hảng Apple', '<IO>', 'NEU')]"
Tốt tôi rất hài lòng nhưng còn bài chỗ tôi ko thik lắm,['bài chỗ'],"[('bài chỗ', 'NEU')]","[('bài chỗ', 'ko thik lắm')]","[('bài chỗ', 'ko thik lắm', 'NEU')]"
"Nhờ bên anh/chị kiểm tra lại là sản phẩm này thì adapter có bị ngược ko nhé, mình thấy rất lạ.","['adapter', '<IA>']","[('adapter', 'NEU'), ('<IA>', 'NEU')]","[('adapter', 'bị ngược'), ('<IA>', 'rất lạ.')]","[('adapter', 'bị ngược', 'NEU'), ('<IA>', 'rất lạ.', 'NEU')]"
Dùng được trong tầm giá. Nếu có điều kiện thì mua quạt xịn hơn chạy cho êm.,['tầm giá.'],"[('tầm giá.', 'NEU')]","[('tầm giá.', 'Dùng được')]","[('tầm giá.', 'Dùng được', 'NEU')]"
uống cũng tạm dc viết cho đủ 50 từ mà có vẻ dài quá,['uống'],"[('uống', 'NEU')]","[('uống', 'tạm dc')]","[('uống', 'tạm dc', 'NEU')]"
"Jp nổi tiếng nhiều thứ quá, nhất là sp tảo xanh này!",['sp tảo xanh'],"[('sp tảo xanh', 'NEU')]","[('sp tảo xanh', '<IO>')]","[('sp tảo xanh', '<IO>', 'NEU')]"
"Những đơn hàng sau làm ơn giao vào buổi chiều thứ 2,3,4,5 sau 3 giờ.",['giao'],"[('giao', 'NEU')]","[('giao', 'vào buổi chiều thứ 2,3,4,5 sau 3 giờ.')]","[('giao', 'vào buổi chiều thứ 2,3,4,5 sau 3 giờ.', 'NEU')]"
"rất thích. không biết chất lượng tốt ko.....,...................",['chất lượng'],"[('chất lượng', 'NEU')]","[('chất lượng', '<IO>')]","[('chất lượng', '<IO>', 'NEU')]"
"hi shop. mình mua nhầm cap mini usb, đáng ra mua microUSB. mình có thể đổi được không? thanks shop",['đổi'],"[('đổi', 'NEU')]","[('đổi', '<IO>')]","[('đổi', '<IO>', 'NEU')]"
chưa kịp sd thì bị con cún ở nhà ngoạm làm đồ chơi nên cũng k biết chất lượng ra sao,"['sd', 'sd', 'chất lượng', 'chất lượng']","[('sd', 'NEU'), ('sd', 'NEU'), ('chất lượng', 'NEU'), ('chất lượng', 'NEU')]","[('sd', 'chưa kịp'), ('sd', 'k biết chất lượng ra sao'), ('chất lượng', 'chưa kịp'), ('chất lượng', 'k biết chất lượng ra sao')]","[('sd', 'chưa kịp', 'NEU'), ('sd', 'k biết chất lượng ra sao', 'NEU'), ('chất lượng', 'chưa kịp', 'NEU'), ('chất lượng', 'k biết chất lượng ra sao', 'NEU')]"
Mình cần hỏi thêm về lưu lượng xài: Bao nhiêu/ số lượng quần áo,"['lưu lượng xài:', 'Bao nhiêu/', 'số lượng quần áo']","[('lưu lượng xài:', 'NEU'), ('Bao nhiêu/', 'NEU'), ('số lượng quần áo', 'NEU')]","[('lưu lượng xài:', '<IO>'), ('Bao nhiêu/', '<IO>'), ('số lượng quần áo', '<IO>')]","[('lưu lượng xài:', '<IO>', 'NEU'), ('Bao nhiêu/', '<IO>', 'NEU'), ('số lượng quần áo', '<IO>', 'NEU')]"
