text,aspects,aspect_sentiment_pairs,aspect_opinion_pairs,triplets
mua xong mà bỏ nước vào thì k xịt đc. sửa dụng sao ạ,['xịt'],"[('xịt', 'NEG')]","[('xịt', 'k xịt đc.')]","[('xịt', 'k xịt đc.', 'NEG')]"
"Quảng cáo lắp dc TV từ 32-46 inch, của mình 43 inch Samsung k lắp vừa",['lắp'],"[('lắp', 'NEG')]","[('lắp', 'k lắp vừa')]","[('lắp', 'k lắp vừa', 'NEG')]"
Mình có điền thông tin xuất hoá đơn mà hơn 7 ngày rồi chưa thấy shop,['shop'],"[('shop', 'NEG')]","[('shop', 'hơn 7 ngày rồi chưa thấy')]","[('shop', 'hơn 7 ngày rồi chưa thấy', 'NEG')]"
"Giao sản phẩm kg đúng.  Hàng mỏng, kg đúng với quảng cáo. Thua","['Giao sản phẩm', 'Hàng', '<IA>', '<IA>']","[('Giao sản phẩm', 'NEG'), ('Hàng', 'NEG'), ('<IA>', 'NEG'), ('<IA>', 'NEG')]","[('Giao sản phẩm', 'kg đúng.'), ('Hàng', 'mỏng,'), ('<IA>', 'kg đúng với quảng cáo.'), ('<IA>', 'Thua')]","[('Giao sản phẩm', 'kg đúng.', 'NEG'), ('Hàng', 'mỏng,', 'NEG'), ('<IA>', 'kg đúng với quảng cáo.', 'NEG'), ('<IA>', 'Thua', 'NEG')]"
"Đai bảo vệ không được êm lắm, khi quỳ gối cảm thấy gai gai.","['Đai bảo vệ', '<IA>']","[('Đai bảo vệ', 'NEG'), ('<IA>', 'NEG')]","[('Đai bảo vệ', 'không được êm lắm,'), ('<IA>', 'gai gai.')]","[('Đai bảo vệ', 'không được êm lắm,', 'NEG'), ('<IA>', 'gai gai.', 'NEG')]"
Đặt hàng từ 25. Mà 30 rồi hàng vẫn trong trạng thái “sẵn sàng giao” mà chưa “vận chuyển” là sao shop?,['hàng'],"[('hàng', 'NEG')]","[('hàng', 'vẫn trong trạng thái “sẵn sàng giao” mà chưa “vận chuyển”')]","[('hàng', 'vẫn trong trạng thái “sẵn sàng giao” mà chưa “vận chuyển”', 'NEG')]"
"Khăn hơi mỏng, chất liệu có vẻ khong thấm nước. Để về giặc rồi xài thử xem sao. Size này hơi nhỏ hiccc","['Khăn', 'chất liệu', 'Size này']","[('Khăn', 'NEG'), ('chất liệu', 'NEG'), ('Size này', 'NEG')]","[('Khăn', 'hơi mỏng,'), ('chất liệu', 'khong thấm nước.'), ('Size này', 'hơi nhỏ')]","[('Khăn', 'hơi mỏng,', 'NEG'), ('chất liệu', 'khong thấm nước.', 'NEG'), ('Size này', 'hơi nhỏ', 'NEG')]"
"Mặt bàn khi lắp khó sát với bộ khung do các khớp nối không liền lạc với nhau, bắt bằng ốc nên dễ bị hở.","['Mặt bàn', 'lắp', 'các khớp nối', '<IA>']","[('Mặt bàn', 'NEG'), ('lắp', 'NEG'), ('các khớp nối', 'NEG'), ('<IA>', 'NEG')]","[('Mặt bàn', 'khó sát với bộ khung'), ('lắp', 'khó sát với bộ khung'), ('các khớp nối', 'không liền lạc'), ('<IA>', 'dễ bị hở.')]","[('Mặt bàn', 'khó sát với bộ khung', 'NEG'), ('lắp', 'khó sát với bộ khung', 'NEG'), ('các khớp nối', 'không liền lạc', 'NEG'), ('<IA>', 'dễ bị hở.', 'NEG')]"
"Đồng hồ có góc nhìn rất hẹp, nút cài đặt ko có tác dụng, không nên mua.","['góc nhìn', 'nút cài đặt', '<IA>']","[('góc nhìn', 'NEG'), ('nút cài đặt', 'NEG'), ('<IA>', 'NEG')]","[('góc nhìn', 'rất hẹp,'), ('nút cài đặt', 'ko có tác dụng,'), ('<IA>', 'không nên mua.')]","[('góc nhìn', 'rất hẹp,', 'NEG'), ('nút cài đặt', 'ko có tác dụng,', 'NEG'), ('<IA>', 'không nên mua.', 'NEG')]"
"Sách có cảm giác để lâu, hơi cũ và bẩn phần rìa giấy :( thế này thà mình chọn mua ngoài nhà sách còn hơn. Mong tiki kiểm tra kho và thay thế các sách như thế này","['Sách', 'phần rìa giấy']","[('Sách', 'NEG'), ('phần rìa giấy', 'NEG')]","[('Sách', 'hơi cũ'), ('phần rìa giấy', 'bẩn')]","[('Sách', 'hơi cũ', 'NEG'), ('phần rìa giấy', 'bẩn', 'NEG')]"
"Đặt hàng 15 ngày vẫn chưa thấy ""đang vận chuyển"",  quá lâu","['vận chuyển"",']","[('vận chuyển"",', 'NEG')]","[('vận chuyển"",', 'quá lâu')]","[('vận chuyển"",', 'quá lâu', 'NEG')]"
"san pham rất rất tệ , như hàng hỏng , thật sự không nên mua","['san pham', 'hàng']","[('san pham', 'NEG'), ('hàng', 'NEG')]","[('san pham', 'rất rất tệ'), ('hàng', 'hỏng')]","[('san pham', 'rất rất tệ', 'NEG'), ('hàng', 'hỏng', 'NEG')]"
