text,aspects,aspect_sentiment_pairs,aspect_opinion_pairs,triplets
"Mình vừa nhận được hàng rồi. Đã kết nối với điện thoại, máy tính... nghe được âm thanh nhưng không điều chỉnh được âm lượng. Khi tăng giảm âm thanh ở điện thoại và máy tính thì tai nghe vẫn giữ nguyên một mức âm thanh. Khi giảm về 0 thì ngắt âm. Âm lượng trên điện thoại và máy tính 100 với 1 đều bằng nhau. Shop cho hướng dẫn về cách điều chỉnh âm lượng với, chứ nghe mỗi mức MAX không thì không sống nổi. Ngoài ra đóng gói và hoàn thiện khá tốt, âm thanh tốt, chắc và đầm. Nghe nhạc, đàm thoại ok.","['nhận được hàng', 'kết nối', 'nghe', 'âm lượng.', 'tai nghe', 'giảm về 0', 'Âm lượng', 'nghe mỗi mức MAX', 'đóng gói', 'hoàn thiện', 'âm thanh', 'Nghe nhạc,', 'đàm thoại']","[('nhận được hàng', 'NEU'), ('kết nối', 'NEU'), ('nghe', 'POS'), ('âm lượng.', 'NEG'), ('tai nghe', 'NEG'), ('giảm về 0', 'NEU'), ('Âm lượng', 'NEG'), ('nghe mỗi mức MAX', 'NEG'), ('đóng gói', 'POS'), ('hoàn thiện', 'POS'), ('âm thanh', 'POS'), ('Nghe nhạc,', 'POS'), ('đàm thoại', 'POS')]","[('nhận được hàng', '<IO>'), ('kết nối', '<IO>'), ('nghe', 'được âm thanh'), ('âm lượng.', 'không điều chỉnh được'), ('tai nghe', 'vẫn giữ nguyên một mức âm thanh.'), ('giảm về 0', 'ngắt âm.'), ('Âm lượng', '100 với 1 đều bằng nhau.'), ('nghe mỗi mức MAX', 'không sống nổi.'), ('đóng gói', '<IO>'), ('hoàn thiện', 'khá tốt,'), ('âm thanh', 'tốt, chắc và đầm.'), ('Nghe nhạc,', 'ok.'), ('đàm thoại', 'ok.')]","[('nhận được hàng', '<IO>', 'NEU'), ('kết nối', '<IO>', 'NEU'), ('nghe', 'được âm thanh', 'POS'), ('âm lượng.', 'không điều chỉnh được', 'NEG'), ('tai nghe', 'vẫn giữ nguyên một mức âm thanh.', 'NEG'), ('giảm về 0', 'ngắt âm.', 'NEU'), ('Âm lượng', '100 với 1 đều bằng nhau.', 'NEG'), ('nghe mỗi mức MAX', 'không sống nổi.', 'NEG'), ('đóng gói', '<IO>', 'POS'), ('hoàn thiện', 'khá tốt,', 'POS'), ('âm thanh', 'tốt, chắc và đầm.', 'POS'), ('Nghe nhạc,', 'ok.', 'POS'), ('đàm thoại', 'ok.', 'POS')]"
"Sản phẩm như quảng cáo, đóng gói cẩn thận, hạn đến 07-2020, kẹo hơi ngọt, 330 viên thì rất nhiều nên các bạn cân nhắc: Ăn ngập mặt + đái đường :D","['Sản phẩm', 'đóng gói', 'hạn', 'kẹo', '<IA>', '<IA>']","[('Sản phẩm', 'POS'), ('đóng gói', 'POS'), ('hạn', 'NEU'), ('kẹo', 'NEG'), ('<IA>', 'NEG'), ('<IA>', 'NEG')]","[('Sản phẩm', 'như quảng cáo,'), ('đóng gói', 'cẩn thận,'), ('hạn', 'đến 07-2020,'), ('kẹo', 'hơi ngọt,'), ('<IA>', 'Ăn ngập mặt'), ('<IA>', 'đái đường')]","[('Sản phẩm', 'như quảng cáo,', 'POS'), ('đóng gói', 'cẩn thận,', 'POS'), ('hạn', 'đến 07-2020,', 'NEU'), ('kẹo', 'hơi ngọt,', 'NEG'), ('<IA>', 'Ăn ngập mặt', 'NEG'), ('<IA>', 'đái đường', 'NEG')]"
mới dùng hàng chất lượng tốt ko cho chọn màu thì hơi tiếc,"['dùng', 'hàng chất lượng', 'chọn màu']","[('dùng', 'NEU'), ('hàng chất lượng', 'POS'), ('chọn màu', 'NEG')]","[('dùng', 'mới'), ('hàng chất lượng', 'tốt'), ('chọn màu', 'ko cho')]","[('dùng', 'mới', 'NEU'), ('hàng chất lượng', 'tốt', 'POS'), ('chọn màu', 'ko cho', 'NEG')]"
"Lưỡi dao hơi cao, xay ít sẽ khó. Máy nặng, tháo lắp dễ dàng","['Lưỡi dao', 'xay ít', 'Máy', 'tháo lắp']","[('Lưỡi dao', 'NEG'), ('xay ít', 'NEG'), ('Máy', 'NEU'), ('tháo lắp', 'POS')]","[('Lưỡi dao', 'hơi cao,'), ('xay ít', 'khó.'), ('Máy', 'nặng,'), ('tháo lắp', 'dễ dàng')]","[('Lưỡi dao', 'hơi cao,', 'NEG'), ('xay ít', 'khó.', 'NEG'), ('Máy', 'nặng,', 'NEU'), ('tháo lắp', 'dễ dàng', 'POS')]"
Shop mô tả là case tự đóng mở cho ipad air 2 nhưng test kiểu gì cũng không tắt được. Support cho mình trả hàng Thanks,"['case tự đóng mở cho ipad air 2', 'tắt', 'trả hàng', '<IA>']","[('case tự đóng mở cho ipad air 2', 'NEU'), ('tắt', 'NEG'), ('trả hàng', 'NEU'), ('<IA>', 'POS')]","[('case tự đóng mở cho ipad air 2', '<IO>'), ('tắt', 'không tắt được.'), ('trả hàng', '<IO>'), ('<IA>', 'Thanks')]","[('case tự đóng mở cho ipad air 2', '<IO>', 'NEU'), ('tắt', 'không tắt được.', 'NEG'), ('trả hàng', '<IO>', 'NEU'), ('<IA>', 'Thanks', 'POS')]"
Mình đặt 4 cái nhưng chỉ có 2 cái là dùng tốt. còn hai cái khi Viết xong bấm xoá nét mực vẫn còn nguyên. bấm nhiều lần thì có hơi nhạt chút nhưng vẫn ko hết được. nhờ tiki hỗ trợ mình đổi cái khác. mới vừa đặt mua giao hàng nhanh nhưng h thành chậm r,"['2 cái', 'Viết xong bấm xoá', 'bấm nhiều lần', 'tiki', 'giao hàng', '<IA>']","[('2 cái', 'POS'), ('Viết xong bấm xoá', 'NEG'), ('bấm nhiều lần', 'NEG'), ('tiki', 'NEU'), ('giao hàng', 'POS'), ('<IA>', 'NEG')]","[('2 cái', 'dùng tốt.'), ('Viết xong bấm xoá', 'nét mực vẫn còn nguyên.'), ('bấm nhiều lần', 'vẫn ko hết được.'), ('tiki', 'hỗ trợ mình đổi cái khác.'), ('giao hàng', 'nhanh'), ('<IA>', 'h thành chậm r')]","[('2 cái', 'dùng tốt.', 'POS'), ('Viết xong bấm xoá', 'nét mực vẫn còn nguyên.', 'NEG'), ('bấm nhiều lần', 'vẫn ko hết được.', 'NEG'), ('tiki', 'hỗ trợ mình đổi cái khác.', 'NEU'), ('giao hàng', 'nhanh', 'POS'), ('<IA>', 'h thành chậm r', 'NEG')]"
Mà đặt 2 loại khák nhau mà gửi cả 2 1 kiểu với loại này tôi rất thích sài cũng đk mấy lần r,"['gửi', 'loại này', 'sài']","[('gửi', 'NEG'), ('loại này', 'POS'), ('sài', 'NEU')]","[('gửi', 'đặt 2 loại khák nhau mà gửi cả 2 1 kiểu'), ('loại này', 'rất thích'), ('sài', '<IO>')]","[('gửi', 'đặt 2 loại khák nhau mà gửi cả 2 1 kiểu', 'NEG'), ('loại này', 'rất thích', 'POS'), ('sài', '<IO>', 'NEU')]"
"Quạt vận hành nhẹ nhàng và rất êm. Gió thổi mạnh. Chiều cao phù hợp với phòng khách. Về tính năng thì rất đơn giản: Chỉ có phím bấm tốc độ và tắt quạt, không có gì thêm. Chuyển hướng bằng nút nhấn trên động cơ. Nếu nhà sản xuất thêm vào vài tính năng như bộ hẹn giờ tắt mở, chuyển hướng điện, thấy đổi chế độ gió thì tuyệt vời hơn . Nói chung là khá đẹp và chạy êm. nghèo nàn các tính năng tiện dụng khác","['Quạt vận hành', 'Gió', 'Chiều cao', 'tính năng', 'êm.', 'năng tiện dụng']","[('Quạt vận hành', 'POS'), ('Gió', 'POS'), ('Chiều cao', 'POS'), ('tính năng', 'NEU'), ('êm.', 'POS'), ('năng tiện dụng', 'NEG')]","[('Quạt vận hành', 'nhẹ nhàng và rất êm.'), ('Gió', 'thổi mạnh.'), ('Chiều cao', 'phù hợp'), ('tính năng', 'rất đơn giản:'), ('êm.', 'nghèo'), ('năng tiện dụng', 'nàn các')]","[('Quạt vận hành', 'nhẹ nhàng và rất êm.', 'POS'), ('Gió', 'thổi mạnh.', 'POS'), ('Chiều cao', 'phù hợp', 'POS'), ('tính năng', 'rất đơn giản:', 'NEU'), ('êm.', 'nghèo', 'POS'), ('năng tiện dụng', 'nàn các', 'NEG')]"
Mình mới dùng cảm giác mát dễ chịu! Hơi xót nhẹ khi dùng vài lần đầu. Xài 1 thời gian mới có đánh giá chính xác!,"['dùng', 'dùng', 'Xài']","[('dùng', 'POS'), ('dùng', 'NEG'), ('Xài', 'NEU')]","[('dùng', 'mát dễ chịu!'), ('dùng', 'Hơi xót nhẹ'), ('Xài', 'mới có đánh giá chính xác!')]","[('dùng', 'mát dễ chịu!', 'POS'), ('dùng', 'Hơi xót nhẹ', 'NEG'), ('Xài', 'mới có đánh giá chính xác!', 'NEU')]"
"Do mình giặt máy nên chỉ bị bung ra, nhưng k sao, nằm êm, mịn.","['chỉ', '<IA>', 'nằm', '<IA>']","[('chỉ', 'NEG'), ('<IA>', 'NEU'), ('nằm', 'POS'), ('<IA>', 'POS')]","[('chỉ', 'bị bung ra,'), ('<IA>', 'k sao,'), ('nằm', 'êm,'), ('<IA>', 'mịn.')]","[('chỉ', 'bị bung ra,', 'NEG'), ('<IA>', 'k sao,', 'NEU'), ('nằm', 'êm,', 'POS'), ('<IA>', 'mịn.', 'POS')]"
