text,aspects,aspect_sentiment_pairs,aspect_opinion_pairs,triplets
"Nhan hàng dung hẹn , hop gọi ky , nhân viên giao hàng cực kỳ dễ thương","['Nhan hàng', 'hop gọi', 'nhân viên giao hàng']","[('Nhan hàng', 'POS'), ('hop gọi', 'POS'), ('nhân viên giao hàng', 'POS')]","[('Nhan hàng', 'dung hẹn'), ('hop gọi', 'ky'), ('nhân viên giao hàng', 'cực kỳ dễ thương')]","[('Nhan hàng', 'dung hẹn', 'POS'), ('hop gọi', 'ky', 'POS'), ('nhân viên giao hàng', 'cực kỳ dễ thương', 'POS')]"
"Giao hàng đúng hạn, giá cả hợp lý. Lần sau sẽ ủng hộ Tiki nữa.","['Giao hàng', 'giá cả', 'Tiki']","[('Giao hàng', 'POS'), ('giá cả', 'POS'), ('Tiki', 'POS')]","[('Giao hàng', 'đúng hạn,'), ('giá cả', 'hợp lý.'), ('Tiki', 'ủng hộ')]","[('Giao hàng', 'đúng hạn,', 'POS'), ('giá cả', 'hợp lý.', 'POS'), ('Tiki', 'ủng hộ', 'POS')]"
"sản phẩm y hình, giao hàng nhanh, đóng gói kỹ. sẽ ủng hộ dài dài","['sản phẩm', 'giao hàng', 'đóng gói', '<IA>']","[('sản phẩm', 'POS'), ('giao hàng', 'POS'), ('đóng gói', 'POS'), ('<IA>', 'POS')]","[('sản phẩm', 'y hình,'), ('giao hàng', 'nhanh,'), ('đóng gói', 'kỹ.'), ('<IA>', 'ủng hộ dài dài')]","[('sản phẩm', 'y hình,', 'POS'), ('giao hàng', 'nhanh,', 'POS'), ('đóng gói', 'kỹ.', 'POS'), ('<IA>', 'ủng hộ dài dài', 'POS')]"
"mì thơm ngon, giá cả hợp lý, mới sản xuất, date xa","['mì', 'giá cả', '<IA>', 'date']","[('mì', 'POS'), ('giá cả', 'POS'), ('<IA>', 'POS'), ('date', 'POS')]","[('mì', 'thơm ngon,'), ('giá cả', 'hợp lý,'), ('<IA>', 'mới sản xuất,'), ('date', 'xa')]","[('mì', 'thơm ngon,', 'POS'), ('giá cả', 'hợp lý,', 'POS'), ('<IA>', 'mới sản xuất,', 'POS'), ('date', 'xa', 'POS')]"
Rất ngon. Tớ rất thích ăn omachi. Sẽ ủng hộ tiếp ah,"['<IA>', 'omachi.', '<IA>']","[('<IA>', 'POS'), ('omachi.', 'POS'), ('<IA>', 'POS')]","[('<IA>', 'Rất ngon.'), ('omachi.', 'rất thích ăn'), ('<IA>', 'ủng hộ tiếp')]","[('<IA>', 'Rất ngon.', 'POS'), ('omachi.', 'rất thích ăn', 'POS'), ('<IA>', 'ủng hộ tiếp', 'POS')]"
Mình đọc chưa tới 1/3 cuốn thì bị bong tróc keo và các trang sách bị rớt ra như hình Nội dung sách càng về sau càng hay nhưng nói ở quy mô doanh nghiệp và góc nhìn của những lí do tại sao vĩ đại. Chưa thấy khả năng áp dụng thực tế cho những người bình thường như mình cao,"['keo', 'các trang sách', 'Nội dung sách', 'khả năng áp dụng thực tế']","[('keo', 'NEG'), ('các trang sách', 'NEG'), ('Nội dung sách', 'POS'), ('khả năng áp dụng thực tế', 'NEG')]","[('keo', 'bị bong tróc'), ('các trang sách', 'bị rớt ra'), ('Nội dung sách', 'càng về sau càng hay'), ('khả năng áp dụng thực tế', 'cao')]","[('keo', 'bị bong tróc', 'NEG'), ('các trang sách', 'bị rớt ra', 'NEG'), ('Nội dung sách', 'càng về sau càng hay', 'POS'), ('khả năng áp dụng thực tế', 'cao', 'NEG')]"
"sách hay. Chất lượng. 1 số phần đầu thì bình thường, nhưng càng về sau càng hay. Phân tích nhiều ví dụ doanh nghiệp đổi mới thành công, với lý do- lý tưởng phục vụ mọi người. Điều nay truyền cảm hứng cho lãnh đạo, và toàn bộ nhân viên phục vụ, làm việc vì lý tưởng, và cảm thấy cuộc sống có ý nghĩa, hạnh phúc hơn.","['sách', '<IA>', '1 số phần đầu', '<IA>', '<IA>']","[('sách', 'POS'), ('<IA>', 'POS'), ('1 số phần đầu', 'NEU'), ('<IA>', 'POS'), ('<IA>', 'POS')]","[('sách', 'hay.'), ('<IA>', 'Chất lượng.'), ('1 số phần đầu', 'bình thường,'), ('<IA>', 'càng về sau càng hay.'), ('<IA>', 'truyền cảm hứng')]","[('sách', 'hay.', 'POS'), ('<IA>', 'Chất lượng.', 'POS'), ('1 số phần đầu', 'bình thường,', 'NEU'), ('<IA>', 'càng về sau càng hay.', 'POS'), ('<IA>', 'truyền cảm hứng', 'POS')]"
"Sách bìa cứng rất đẹp, được đóng gói cẩn thận. Biết đến tác giả Simon Sinek thông qua Tedex, xem video và audio book của Start with why rồi sau đó mới biết có bản dịch. Đọc sách và bạn sẽ vỡ ra được nhiều điều về lý do tại sao mình chưa thành công, dù là bất kỳ lĩnh vực gì.","['Sách bìa cứng', 'đóng gói', 'Đọc sách']","[('Sách bìa cứng', 'POS'), ('đóng gói', 'POS'), ('Đọc sách', 'POS')]","[('Sách bìa cứng', 'rất đẹp,'), ('đóng gói', 'cẩn thận.'), ('Đọc sách', 'vỡ ra được nhiều điều')]","[('Sách bìa cứng', 'rất đẹp,', 'POS'), ('đóng gói', 'cẩn thận.', 'POS'), ('Đọc sách', 'vỡ ra được nhiều điều', 'POS')]"
Sách hay nhưng đọc đến gần giữa sách bắt đầu bị bong keo các tờ giấy muốn rớt ra rồi Tiki ơi. Về điểm này thì không hài lòng,"['Sách', 'keo', 'keo', 'các tờ giấy', 'các tờ giấy', '<IA>']","[('Sách', 'POS'), ('keo', 'NEG'), ('keo', 'NEG'), ('các tờ giấy', 'NEG'), ('các tờ giấy', 'NEG'), ('<IA>', 'NEG')]","[('Sách', 'hay'), ('keo', 'bị bong'), ('keo', 'muốn rớt ra'), ('các tờ giấy', 'bị bong'), ('các tờ giấy', 'muốn rớt ra'), ('<IA>', 'không hài lòng')]","[('Sách', 'hay', 'POS'), ('keo', 'bị bong', 'NEG'), ('keo', 'muốn rớt ra', 'NEG'), ('các tờ giấy', 'bị bong', 'NEG'), ('các tờ giấy', 'muốn rớt ra', 'NEG'), ('<IA>', 'không hài lòng', 'NEG')]"
1 cuốn sách rất hay về cách bạn có thể truyền cảm hứng đến mọi người để hành động một cách tự nguyện. Đó là hãy bắt đầu với câu hỏi Tại sao.,['cuốn sách'],"[('cuốn sách', 'POS')]","[('cuốn sách', 'rất hay')]","[('cuốn sách', 'rất hay', 'POS')]"
