text,aspects,aspect_sentiment_pairs,aspect_opinion_pairs,triplets
"Sản phẩm như giới thiệu, đẹp, chắc chắn. xin cảm ơn shop","['Sản phẩm', '<IA>', '<IA>']","[('Sản phẩm', 'POS'), ('<IA>', 'POS'), ('<IA>', 'POS')]","[('Sản phẩm', 'như giới thiệu,'), ('<IA>', 'đẹp,'), ('<IA>', 'chắc chắn.')]","[('Sản phẩm', 'như giới thiệu,', 'POS'), ('<IA>', 'đẹp,', 'POS'), ('<IA>', 'chắc chắn.', 'POS')]"
"Khăn tắm mềm, dùng êm, không bị dính lông, khô nhanh, chất lượng tốt","['Khăn tắm', 'dùng', '<IA>', '<IA>', 'chất lượng']","[('Khăn tắm', 'POS'), ('dùng', 'POS'), ('<IA>', 'POS'), ('<IA>', 'POS'), ('chất lượng', 'POS')]","[('Khăn tắm', 'mềm,'), ('dùng', 'êm,'), ('<IA>', 'không bị dính lông,'), ('<IA>', 'khô nhanh,'), ('chất lượng', 'tốt')]","[('Khăn tắm', 'mềm,', 'POS'), ('dùng', 'êm,', 'POS'), ('<IA>', 'không bị dính lông,', 'POS'), ('<IA>', 'khô nhanh,', 'POS'), ('chất lượng', 'tốt', 'POS')]"
"Cảm ơn tiki, nhờ tiki mà mình mua được sách gốc với giá rất tốt so với giá bìa. Nội dung kiến thức bổ ích.","['giá', 'Nội dung kiến thức']","[('giá', 'POS'), ('Nội dung kiến thức', 'POS')]","[('giá', 'rất tốt'), ('Nội dung kiến thức', 'bổ ích.')]","[('giá', 'rất tốt', 'POS'), ('Nội dung kiến thức', 'bổ ích.', 'POS')]"
"Mới mua về xài ok, sôi tiếng ko lớn, màu LED ấm đẹp","['xài', 'sôi tiếng', 'màu LED']","[('xài', 'POS'), ('sôi tiếng', 'POS'), ('màu LED', 'POS')]","[('xài', 'ok,'), ('sôi tiếng', 'ko lớn,'), ('màu LED', 'ấm đẹp')]","[('xài', 'ok,', 'POS'), ('sôi tiếng', 'ko lớn,', 'POS'), ('màu LED', 'ấm đẹp', 'POS')]"
"mua trúng đợt sale 23k thôi vui ghê luôn , luôn ủng hộ tiki",['sale 23k'],"[('sale 23k', 'POS')]","[('sale 23k', 'vui')]","[('sale 23k', 'vui', 'POS')]"
"Gói hàng cẩn thận. Xịt khoáng tốt, ko có mùi. Quà tặng đẹp.","['Gói hàng', 'Xịt khoáng', 'Quà tặng']","[('Gói hàng', 'POS'), ('Xịt khoáng', 'POS'), ('Quà tặng', 'POS')]","[('Gói hàng', 'cẩn thận.'), ('Xịt khoáng', 'tốt, ko có mùi.'), ('Quà tặng', 'đẹp.')]","[('Gói hàng', 'cẩn thận.', 'POS'), ('Xịt khoáng', 'tốt, ko có mùi.', 'POS'), ('Quà tặng', 'đẹp.', 'POS')]"
gel vệ sinh cực tốt luôn shop ơi mình mới vừa mua thêm nữa đó,['gel vệ sinh'],"[('gel vệ sinh', 'POS')]","[('gel vệ sinh', 'cực tốt')]","[('gel vệ sinh', 'cực tốt', 'POS')]"
"Sách Fahasa chất lượng tốt, đóng gói rất cẩn thận.","['chất lượng', 'đóng gói']","[('chất lượng', 'POS'), ('đóng gói', 'POS')]","[('chất lượng', 'tốt,'), ('đóng gói', 'rất cẩn thận.')]","[('chất lượng', 'tốt,', 'POS'), ('đóng gói', 'rất cẩn thận.', 'POS')]"
"áo mới mở ra có mùi thơm, chất vải cũng ok, sờ mát tay. giao hàng nhanh","['áo', 'chất vải', 'sờ', 'giao hàng']","[('áo', 'POS'), ('chất vải', 'POS'), ('sờ', 'POS'), ('giao hàng', 'POS')]","[('áo', 'có mùi thơm,'), ('chất vải', 'ok,'), ('sờ', 'mát tay.'), ('giao hàng', 'nhanh')]","[('áo', 'có mùi thơm,', 'POS'), ('chất vải', 'ok,', 'POS'), ('sờ', 'mát tay.', 'POS'), ('giao hàng', 'nhanh', 'POS')]"
"Sách không bị xoăn hay gãy góc. Không  bị trắng trang, chữ rõ","['Sách', 'trang,', 'chữ']","[('Sách', 'POS'), ('trang,', 'POS'), ('chữ', 'POS')]","[('Sách', 'không bị xoăn hay gãy góc.'), ('trang,', 'Không bị trắng'), ('chữ', 'rõ')]","[('Sách', 'không bị xoăn hay gãy góc.', 'POS'), ('trang,', 'Không bị trắng', 'POS'), ('chữ', 'rõ', 'POS')]"
"Giao hàng nhanh, đóng gói cẩn thận, shipper thân thiện . Gội xong rất mềm và thơm dễ chịu, và đúng là bồng bềnh thật . Rất ưng ý.","['Giao hàng', 'đóng gói', 'shipper', 'Gội xong']","[('Giao hàng', 'POS'), ('đóng gói', 'POS'), ('shipper', 'POS'), ('Gội xong', 'POS')]","[('Giao hàng', 'nhanh,'), ('đóng gói', 'cẩn thận,'), ('shipper', 'thân thiện'), ('Gội xong', 'rất mềm')]","[('Giao hàng', 'nhanh,', 'POS'), ('đóng gói', 'cẩn thận,', 'POS'), ('shipper', 'thân thiện', 'POS'), ('Gội xong', 'rất mềm', 'POS')]"
Thẻ mới đẹp như mô tả. Hình ảnh thực tế sống động.,"['Thẻ', 'Hình ảnh']","[('Thẻ', 'POS'), ('Hình ảnh', 'POS')]","[('Thẻ', 'mới đẹp như mô tả.'), ('Hình ảnh', 'thực tế sống động.')]","[('Thẻ', 'mới đẹp như mô tả.', 'POS'), ('Hình ảnh', 'thực tế sống động.', 'POS')]"
