text,label
"Âm lượng tương đối tốt, tuy nhiên sử dụng không được bên lắm","Âm lượng tương đối tốt, tuy nhiên sử dụng không được bên lắm####[([0, 1], [2, 3, 4], 'POS'), ([7, 8], [9, 10, 11, 12], 'NEG')]"
"Chất âm ổn, bass với mình là đủ khi nghe edm, âm trường không quá xuất sắc nhưng cũng khá rộng nghe những bài pop cũng ổn. Tự động ngắt kết nối khi cho tai vào hộp sạc và tự động kết nối khi lấy tai ra","Chất âm ổn, bass với mình là đủ khi nghe edm, âm trường không quá xuất sắc nhưng cũng khá rộng nghe những bài pop cũng ổn. Tự động ngắt kết nối khi cho tai vào hộp sạc và tự động kết nối khi lấy tai ra####[([0, 1], [2], 'POS'), ([3], [7], 'POS'), ([11, 12], [13, 14, 15, 16], 'POS'), ([11, 12], [19, 20], 'POS'), ([21], [26], 'POS'), ([29, 30, 31], [27, 28], 'POS'), ([29, 30, 31], [39, 40], 'POS'), ([41, 42], [27, 28], 'POS'), ([41, 42], [39, 40], 'POS')]"
Không chịu được 1 tấm thớt khi treo . Hàng không đúng mô tả . Sài khá tệ,"Không chịu được 1 tấm thớt khi treo . Hàng không đúng mô tả . Sài khá tệ####[([9], [10, 11, 12, 13], 'NEG'), ([15], [16, 17], 'NEG')]"
"Đai khá đẹp, chốt cài chắc chắn, chất liệu mềm và shop tặng kèm thêm khẩu trang xinh xinh nữa","Đai khá đẹp, chốt cài chắc chắn, chất liệu mềm và shop tặng kèm thêm khẩu trang xinh xinh nữa####[([0], [1, 2], 'POS'), ([3, 4], [5, 6], 'POS'), ([7, 8], [9], 'POS'), ([11], [12, 13, 14, 15, 16, 17, 18], 'POS')]"
tạm thôi hợp giá tiền nhưng sử dụng chỉ 2 ngày là rách,"tạm thôi hợp giá tiền nhưng sử dụng chỉ 2 ngày là rách####[([], [0, 1], 'NEU'), ([3, 4], [2], 'POS'), ([6, 7], [12], 'NEG')]"
"Sản phẩm đẹp, dễ thương..............................................................................................","Sản phẩm đẹp, dễ thương..............................................................................................####[([0, 1], [2, 3, 4], 'POS')]"
"Mẫu sản phẩm ổn, chắc chắn, pin xài tốt, hàng mới nguyên tem. Hàng đóng gói cẩn thận!","Mẫu sản phẩm ổn, chắc chắn, pin xài tốt, hàng mới nguyên tem. Hàng đóng gói cẩn thận!####[([0, 1, 2], [3], 'POS'), ([6], [7, 8], 'POS'), ([9], [10, 11, 12], 'POS'), ([14, 15], [16, 17], 'POS')]"
"Tiki giao hành nhanh, đóng gói cẩn thận, có tem bảo hành đầy đủ, còn nguyên seal. Khi nhận được hàng thấy máy rất ok, bấm phím nhẹ, hàng mới 100%. Mình yên tâm khi mua hàng của Tiki trading hơn là các store khác, sẽ tiếp tục ủng hộ!","Tiki giao hành nhanh, đóng gói cẩn thận, có tem bảo hành đầy đủ, còn nguyên seal. Khi nhận được hàng thấy máy rất ok, bấm phím nhẹ, hàng mới 100%. Mình yên tâm khi mua hàng của Tiki trading hơn là các store khác, sẽ tiếp tục ủng hộ!####[([1, 2], [3], 'POS'), ([4, 5], [6, 7], 'POS'), ([9, 10, 11], [12, 13], 'POS'), ([22], [23, 24], 'POS'), ([25, 26], [27], 'POS'), ([28], [29, 30], 'POS'), ([34, 35, 36, 37, 38, 39], [32, 33], 'POS')]"
"Sách rất hay bổ ích. Trình bày dễ hiểu, bố cục phân loại rõ ràng","Sách rất hay bổ ích. Trình bày dễ hiểu, bố cục phân loại rõ ràng####[([0], [2, 3, 4], 'POS'), ([5, 6], [7, 8], 'POS'), ([9, 10], [11, 12, 13, 14], 'POS')]"
"Bé nhà mình 16 tháng rất thích chơi trò này, hình ảnh bắt mắt, sản phẩm chất lượng","Bé nhà mình 16 tháng rất thích chơi trò này, hình ảnh bắt mắt, sản phẩm chất lượng####[([7], [6], 'POS'), ([10, 11], [12, 13], 'POS'), ([14, 15], [16, 17], 'POS')]"
