text,aspects,aspect_sentiment_pairs,aspect_opinion_pairs,triplets
Mình mua sản phẩm lần 1 hơi lỗi chút nhưng được hỗ trợ đổi trả rất nhanh. Hiện tại thấy loa hoạt động tốt trong bán kính 6m. Về độ bền thì còn cần thời gian ☺️,"['sản phẩm', 'hỗ trợ đổi trả', 'loa hoạt động', 'độ bền']","[('sản phẩm', 'NEG'), ('hỗ trợ đổi trả', 'POS'), ('loa hoạt động', 'POS'), ('độ bền', 'NEU')]","[('sản phẩm', 'hơi lỗi chút'), ('hỗ trợ đổi trả', 'rất nhanh.'), ('loa hoạt động', 'tốt trong bán kính 6m.'), ('độ bền', '<IO>')]","[('sản phẩm', 'hơi lỗi chút', 'NEG'), ('hỗ trợ đổi trả', 'rất nhanh.', 'POS'), ('loa hoạt động', 'tốt trong bán kính 6m.', 'POS'), ('độ bền', '<IO>', 'NEU')]"
"Tiki nên kiểm tra lại hàng hoá và cách đóng gói. Hàng nhận về bị bể mất một mảng lớn ở nắp như vậy. Chả biết hộp bị sẵn hay do vận chuyển. May là lần này không bị ảnh hưởng đến sản phẩm bên trong, chứ còn một số hàng hoá dễ vỡ khác thì như nào nữa.","['Tiki', 'nắp', 'sản phẩm bên trong, chứ']","[('Tiki', 'NEU'), ('nắp', 'NEG'), ('sản phẩm bên trong, chứ', 'POS')]","[('Tiki', 'nên kiểm tra lại hàng hoá và cách đóng gói.'), ('nắp', 'bể mất một mảng lớn'), ('sản phẩm bên trong, chứ', 'không bị ảnh hưởng')]","[('Tiki', 'nên kiểm tra lại hàng hoá và cách đóng gói.', 'NEU'), ('nắp', 'bể mất một mảng lớn', 'NEG'), ('sản phẩm bên trong, chứ', 'không bị ảnh hưởng', 'POS')]"
"Chưa bao giờ nhận được cái hộp đóng nào của tiki mà nhìn nó chán như lần này. Sản phẩm giao màu ngẫu nhiên mà ko mô tả, hàng thì nhìn cũ như hàng đổi trả. Đồng hồ dùng 3 pin AAA, cũng nên mô tả là không kèm theo pin. Nói chung là hài lòng.","['hộp đóng nào của tiki', 'giao màu', 'hàng', 'Đồng hồ', 'tả', '<IA>']","[('hộp đóng nào của tiki', 'NEG'), ('giao màu', 'NEG'), ('hàng', 'NEG'), ('Đồng hồ', 'NEU'), ('tả', 'NEG'), ('<IA>', 'POS')]","[('hộp đóng nào của tiki', 'nhìn nó chán'), ('giao màu', 'ngẫu nhiên mà ko mô tả,'), ('hàng', 'nhìn cũ như hàng đổi trả.'), ('Đồng hồ', 'dùng 3 pin AAA,'), ('tả', 'không kèm theo pin.'), ('<IA>', 'hài lòng.')]","[('hộp đóng nào của tiki', 'nhìn nó chán', 'NEG'), ('giao màu', 'ngẫu nhiên mà ko mô tả,', 'NEG'), ('hàng', 'nhìn cũ như hàng đổi trả.', 'NEG'), ('Đồng hồ', 'dùng 3 pin AAA,', 'NEU'), ('tả', 'không kèm theo pin.', 'NEG'), ('<IA>', 'hài lòng.', 'POS')]"
"dong goi can than, giao nhanh. hang khong giong quang cao. ko biet su dung co tot ko","['dong goi', 'giao', 'hang', 'su dung']","[('dong goi', 'POS'), ('giao', 'POS'), ('hang', 'NEG'), ('su dung', 'NEU')]","[('dong goi', 'can than,'), ('giao', 'nhanh.'), ('hang', 'khong giong quang cao.'), ('su dung', 'tot ko')]","[('dong goi', 'can than,', 'POS'), ('giao', 'nhanh.', 'POS'), ('hang', 'khong giong quang cao.', 'NEG'), ('su dung', 'tot ko', 'NEU')]"
"Sữa nhận đuoc rồi nhưng vẫn chưa nhận đuoc quà, quà tặng lẽ ra nên đi kèm với sản phâme thì hay hơn","['Sữa', 'quà,', 'quà tặng']","[('Sữa', 'POS'), ('quà,', 'NEG'), ('quà tặng', 'NEU')]","[('Sữa', 'nhận đuoc rồi'), ('quà,', 'vẫn chưa nhận đuoc'), ('quà tặng', 'lẽ ra nên đi kèm với sản phâme thì hay hơn')]","[('Sữa', 'nhận đuoc rồi', 'POS'), ('quà,', 'vẫn chưa nhận đuoc', 'NEG'), ('quà tặng', 'lẽ ra nên đi kèm với sản phâme thì hay hơn', 'NEU')]"
"gói hàng đẹp, chất lượng, dung dịch đỏ như quảng cáo, do là serum vitamin c nên hơi rích da, mùi đặt trưng. chỉ mới sử dụng nên chưa thể đánh giá hết hiệu quả của nó được.","['gói hàng', '<IA>', 'dung dịch', 'da,', 'mùi', 'hiệu quả']","[('gói hàng', 'POS'), ('<IA>', 'POS'), ('dung dịch', 'POS'), ('da,', 'NEG'), ('mùi', 'NEU'), ('hiệu quả', 'NEU')]","[('gói hàng', 'đẹp,'), ('<IA>', 'chất lượng,'), ('dung dịch', 'đỏ như quảng cáo,'), ('da,', 'hơi rích'), ('mùi', 'đặt trưng.'), ('hiệu quả', 'chưa thể đánh giá')]","[('gói hàng', 'đẹp,', 'POS'), ('<IA>', 'chất lượng,', 'POS'), ('dung dịch', 'đỏ như quảng cáo,', 'POS'), ('da,', 'hơi rích', 'NEG'), ('mùi', 'đặt trưng.', 'NEU'), ('hiệu quả', 'chưa thể đánh giá', 'NEU')]"
"Chuột đẹp, chạy cũng mượt nhưng kết nối cùng lúc với tai nghe Bluetooth thì lag thôi rồi luôn. Phải chi có receiver thì hay hơn.","['Chuột', 'chạy', 'kết nối', 'receiver']","[('Chuột', 'POS'), ('chạy', 'POS'), ('kết nối', 'NEG'), ('receiver', 'NEU')]","[('Chuột', 'đẹp,'), ('chạy', 'mượt'), ('kết nối', 'lag thôi rồi luôn.'), ('receiver', '<IO>')]","[('Chuột', 'đẹp,', 'POS'), ('chạy', 'mượt', 'POS'), ('kết nối', 'lag thôi rồi luôn.', 'NEG'), ('receiver', '<IO>', 'NEU')]"
s . phẩm cũng tạm ổn. chỉ có đường may ko được chắc chắn. giặt bị bung ra khá nhiều. lông mềm mịn nằm êm. vậy là ok. khá hài lòng.,"['s . phẩm', 'đường may', '<IA>', 'lông', 'nằm', 'lòng.']","[('s . phẩm', 'NEU'), ('đường may', 'NEG'), ('<IA>', 'NEG'), ('lông', 'POS'), ('nằm', 'POS'), ('lòng.', 'POS')]","[('s . phẩm', 'tạm ổn.'), ('đường may', 'ko được chắc chắn.'), ('<IA>', 'giặt bị bung ra'), ('lông', 'mềm mịn'), ('nằm', 'êm.'), ('lòng.', 'khá hài lòng.')]","[('s . phẩm', 'tạm ổn.', 'NEU'), ('đường may', 'ko được chắc chắn.', 'NEG'), ('<IA>', 'giặt bị bung ra', 'NEG'), ('lông', 'mềm mịn', 'POS'), ('nằm', 'êm.', 'POS'), ('lòng.', 'khá hài lòng.', 'POS')]"
"sản phẩm có gai mềm, rửa mặt nhanh và sạch,  phần đế hút ko giữ đc khi dán vào mặt thẳng đứng, tuy nhiên có thể dính vào mặt bàn nằm ngang thì OK rồi. nhựa hơi mùi nhẹ thôi, ko phải vấn đề. Rất tiện lợi","['gai', 'rửa mặt', 'rửa mặt', 'phần đế hút', 'dính vào mặt bàn nằm ngang', 'nhựa', '<IA>']","[('gai', 'POS'), ('rửa mặt', 'POS'), ('rửa mặt', 'POS'), ('phần đế hút', 'NEG'), ('dính vào mặt bàn nằm ngang', 'POS'), ('nhựa', 'NEU'), ('<IA>', 'POS')]","[('gai', 'mềm,'), ('rửa mặt', 'nhanh'), ('rửa mặt', 'sạch,'), ('phần đế hút', 'ko giữ đc'), ('dính vào mặt bàn nằm ngang', 'OK'), ('nhựa', 'hơi mùi nhẹ'), ('<IA>', 'Rất tiện lợi')]","[('gai', 'mềm,', 'POS'), ('rửa mặt', 'nhanh', 'POS'), ('rửa mặt', 'sạch,', 'POS'), ('phần đế hút', 'ko giữ đc', 'NEG'), ('dính vào mặt bàn nằm ngang', 'OK', 'POS'), ('nhựa', 'hơi mùi nhẹ', 'NEU'), ('<IA>', 'Rất tiện lợi', 'POS')]"
"Mình nhận hàng tuần trước, khá hài lòng vì thảm đúng màu, giống mô tả, mềm mịn, đường may kỹ, nhẹ, nằm êm thoải mái. Không hài lòng về kích thướt nhận được là 1m6 x 2m không phải 1m8 x 2m như đã đặt.","['nhận hàng', 'thảm', 'đường may', 'nằm', 'kích thướt', 'kích thướt']","[('nhận hàng', 'NEU'), ('thảm', 'POS'), ('đường may', 'POS'), ('nằm', 'POS'), ('kích thướt', 'NEG'), ('kích thướt', 'NEG')]","[('nhận hàng', '<IO>'), ('thảm', 'đúng màu,'), ('đường may', 'kỹ,'), ('nằm', 'êm thoải mái.'), ('kích thướt', 'Không hài lòng'), ('kích thướt', 'nhận được là 1m6 x 2m không phải 1m8 x 2m như đã đặt.')]","[('nhận hàng', '<IO>', 'NEU'), ('thảm', 'đúng màu,', 'POS'), ('đường may', 'kỹ,', 'POS'), ('nằm', 'êm thoải mái.', 'POS'), ('kích thướt', 'Không hài lòng', 'NEG'), ('kích thướt', 'nhận được là 1m6 x 2m không phải 1m8 x 2m như đã đặt.', 'NEG')]"
