text,aspects,aspect_sentiment_pairs,aspect_opinion_pairs,triplets
"Hàng cực kỳ kém chất lượng, nhựa lỏng lẻo ko giống như hình. Thanh inok thì méo mó ko thể nào lắm ráp vào đc, tôi đề nghị trả lại hàng","['Hàng', 'nhựa', 'Thanh inok', 'lắm ráp vào đc,']","[('Hàng', 'NEG'), ('nhựa', 'NEG'), ('Thanh inok', 'NEG'), ('lắm ráp vào đc,', 'NEG')]","[('Hàng', 'cực kỳ kém chất lượng,'), ('nhựa', 'lỏng lẻo'), ('Thanh inok', 'méo mó'), ('lắm ráp vào đc,', 'ko thể nào')]","[('Hàng', 'cực kỳ kém chất lượng,', 'NEG'), ('nhựa', 'lỏng lẻo', 'NEG'), ('Thanh inok', 'méo mó', 'NEG'), ('lắm ráp vào đc,', 'ko thể nào', 'NEG')]"
"giao hàng nhanh, hôm qua đặt, hôm nay đã giao.  Sách còn nguyên , mới, chưa rách bọc, đóng gói kĩ.","['giao hàng', 'Sách', 'Sách', 'bọc,', 'bọc,', 'đóng gói']","[('giao hàng', 'POS'), ('Sách', 'POS'), ('Sách', 'POS'), ('bọc,', 'POS'), ('bọc,', 'POS'), ('đóng gói', 'POS')]","[('giao hàng', 'nhanh,'), ('Sách', 'còn nguyên'), ('Sách', 'mới, chưa rách'), ('bọc,', 'còn nguyên'), ('bọc,', 'mới, chưa rách'), ('đóng gói', 'kĩ.')]","[('giao hàng', 'nhanh,', 'POS'), ('Sách', 'còn nguyên', 'POS'), ('Sách', 'mới, chưa rách', 'POS'), ('bọc,', 'còn nguyên', 'POS'), ('bọc,', 'mới, chưa rách', 'POS'), ('đóng gói', 'kĩ.', 'POS')]"
"Nhìn hàng thấy ok, sẽ tiếp tục ủng hộ tiki nè. ....",['hàng'],"[('hàng', 'POS')]","[('hàng', 'ok,')]","[('hàng', 'ok,', 'POS')]"
sao lúc mình mua thì bảo có quà mà khi gửi hàng về lại k có quà kèm theo vậy shop,['quà'],"[('quà', 'NEG')]","[('quà', 'k có')]","[('quà', 'k có', 'NEG')]"
"Mình mới nhận được máy giặt hôm qua (03/06) Khi vận hành lúc máy vắt đồ thì rung rất mạnh, kêu ầm ầm, đến nỗi máy bị dịch chuyển đi chỗ khác luôn. Mình kiểm tra chân thì thấy không bị chênh hay nghiên. Mình giặt chừng 2 cái khăn tắm vs 3 bộ đồ bt. Do rung lắc mạnh quá nên mình không dám giặt tiếp mà phải ngưng lại. Tính đến giờ đã mua 2 ngày nhưng chưa giặt xong đc mẻ đồ nào. Chắc mình sẽ gọi kỹ thuật xuống nhờ kiểm tra giúp.","['vắt đồ', '<IA>', 'máy']","[('vắt đồ', 'NEG'), ('<IA>', 'NEG'), ('máy', 'NEG')]","[('vắt đồ', 'rung rất mạnh,'), ('<IA>', 'kêu ầm ầm,'), ('máy', 'bị dịch chuyển đi chỗ khác')]","[('vắt đồ', 'rung rất mạnh,', 'NEG'), ('<IA>', 'kêu ầm ầm,', 'NEG'), ('máy', 'bị dịch chuyển đi chỗ khác', 'NEG')]"
sản phẩm tốt vượt mong đợi ..........................,['sản phẩm'],"[('sản phẩm', 'POS')]","[('sản phẩm', 'tốt vượt mong đợi')]","[('sản phẩm', 'tốt vượt mong đợi', 'POS')]"
"Sách mới, màu sắc dễ thương, nội dung 2 quyển sách có nhiều điểm tương đồng","['Sách', 'màu sắc']","[('Sách', 'POS'), ('màu sắc', 'POS')]","[('Sách', 'mới,'), ('màu sắc', 'dễ thương,')]","[('Sách', 'mới,', 'POS'), ('màu sắc', 'dễ thương,', 'POS')]"
hàng mỏng nhưng dán củng ok ? tỷ mỉ tí ? xứng đáng vs giá sản phẩm như v,"['hàng', 'dán', 'giá sản phẩm như']","[('hàng', 'NEG'), ('dán', 'POS'), ('giá sản phẩm như', 'POS')]","[('hàng', 'mỏng'), ('dán', 'ok'), ('giá sản phẩm như', 'xứng đáng')]","[('hàng', 'mỏng', 'NEG'), ('dán', 'ok', 'POS'), ('giá sản phẩm như', 'xứng đáng', 'POS')]"
tạm ổn với mức tiền nhưng áo hơi mỏng và dài quá...,"['mức tiền', 'áo', 'áo']","[('mức tiền', 'NEU'), ('áo', 'NEG'), ('áo', 'NEG')]","[('mức tiền', 'tạm ổn'), ('áo', 'mỏng'), ('áo', 'dài quá...')]","[('mức tiền', 'tạm ổn', 'NEU'), ('áo', 'mỏng', 'NEG'), ('áo', 'dài quá...', 'NEG')]"
"e đã mua nhìn rất đẹp, nhưng sợi dây mỏng quá   ,nếu dày tí nữa thì ok lắm luôn đó","['<IA>', 'sợi dây']","[('<IA>', 'POS'), ('sợi dây', 'NEG')]","[('<IA>', 'rất đẹp,'), ('sợi dây', 'mỏng quá')]","[('<IA>', 'rất đẹp,', 'POS'), ('sợi dây', 'mỏng quá', 'NEG')]"
Mùi hương dễ chịu thích hợp cho những ng bị viêm xoang thích mùi sả chanh treo trong phòng ngủ hoặc phòng tắm cũng rất thích hợp,"['Mùi hương', '<IA>']","[('Mùi hương', 'POS'), ('<IA>', 'POS')]","[('Mùi hương', 'dễ chịu'), ('<IA>', 'thích hợp')]","[('Mùi hương', 'dễ chịu', 'POS'), ('<IA>', 'thích hợp', 'POS')]"
"Đã sử dụng, rất hài lòng, đóng gói cẩn thận, thích ở chỗ có thể dùng ở 3 đơn vị đo lường","['sử dụng,', 'đóng gói', 'dùng ở 3 đơn vị đo lường']","[('sử dụng,', 'POS'), ('đóng gói', 'POS'), ('dùng ở 3 đơn vị đo lường', 'POS')]","[('sử dụng,', 'rất hài lòng,'), ('đóng gói', 'cẩn thận,'), ('dùng ở 3 đơn vị đo lường', 'thích')]","[('sử dụng,', 'rất hài lòng,', 'POS'), ('đóng gói', 'cẩn thận,', 'POS'), ('dùng ở 3 đơn vị đo lường', 'thích', 'POS')]"
Lỗ khoan chỗ cài chốt k khớp với khoá chốt nên chỉ chốt được 1 bên. Cũi yếu hơn so với cái mình đag dùg cho e bé lớn. Vì là hàg cồg kềnh nên giao hơi chậm,"['Lỗ khoan chỗ cài chốt', 'Cũi', 'giao']","[('Lỗ khoan chỗ cài chốt', 'NEG'), ('Cũi', 'NEG'), ('giao', 'NEG')]","[('Lỗ khoan chỗ cài chốt', 'k khớp'), ('Cũi', 'yếu'), ('giao', 'hơi chậm')]","[('Lỗ khoan chỗ cài chốt', 'k khớp', 'NEG'), ('Cũi', 'yếu', 'NEG'), ('giao', 'hơi chậm', 'NEG')]"
đẹp chất lượng tốt giày đi cũng êm vải mềm có dãn tốt khuyên các bạn nên mua,"['<IA>', 'chất lượng', 'đi', 'vải']","[('<IA>', 'POS'), ('chất lượng', 'POS'), ('đi', 'POS'), ('vải', 'POS')]","[('<IA>', 'đẹp'), ('chất lượng', 'tốt'), ('đi', 'êm'), ('vải', 'mềm có dãn tốt')]","[('<IA>', 'đẹp', 'POS'), ('chất lượng', 'tốt', 'POS'), ('đi', 'êm', 'POS'), ('vải', 'mềm có dãn tốt', 'POS')]"
"Rất hài lòng với sản phẩm của shop nha, ra thế giới di động nhờ dán dùm, càm sản phẩm rất ưng ý. Miếng dán của sony xz p.","['sản phẩm của shop', 'sản phẩm']","[('sản phẩm của shop', 'POS'), ('sản phẩm', 'POS')]","[('sản phẩm của shop', 'Rất hài lòng'), ('sản phẩm', 'rất ưng ý.')]","[('sản phẩm của shop', 'Rất hài lòng', 'POS'), ('sản phẩm', 'rất ưng ý.', 'POS')]"
"Hàng đúng với mô tả , chất lượng và giá tốt. Mấy thanh niên muốn đựng nhiều đồ thì ko nên mua tại vì mẫu này hơi nhỏ gọn","['Hàng', 'chất lượng', 'giá', 'đựng nhiều đồ', 'mẫu này']","[('Hàng', 'POS'), ('chất lượng', 'POS'), ('giá', 'POS'), ('đựng nhiều đồ', 'NEG'), ('mẫu này', 'NEG')]","[('Hàng', 'đúng với mô tả'), ('chất lượng', '<IO>'), ('giá', 'tốt.'), ('đựng nhiều đồ', 'ko nên mua'), ('mẫu này', 'hơi nhỏ gọn')]","[('Hàng', 'đúng với mô tả', 'POS'), ('chất lượng', '<IO>', 'POS'), ('giá', 'tốt.', 'POS'), ('đựng nhiều đồ', 'ko nên mua', 'NEG'), ('mẫu này', 'hơi nhỏ gọn', 'NEG')]"
Chất lượng tốt. Chất lượng tốt.,"['Chất lượng', 'Chất lượng']","[('Chất lượng', 'POS'), ('Chất lượng', 'POS')]","[('Chất lượng', 'tốt.'), ('Chất lượng', 'tốt.')]","[('Chất lượng', 'tốt.', 'POS'), ('Chất lượng', 'tốt.', 'POS')]"
sách hay cho trẻ em. hình ảnh thực tế giúp trẻ dễ nhận biết,"['sách', 'hình ảnh', 'hình ảnh']","[('sách', 'POS'), ('hình ảnh', 'POS'), ('hình ảnh', 'POS')]","[('sách', 'hay'), ('hình ảnh', 'thực tế'), ('hình ảnh', 'dễ nhận biết')]","[('sách', 'hay', 'POS'), ('hình ảnh', 'thực tế', 'POS'), ('hình ảnh', 'dễ nhận biết', 'POS')]"
"hàng sổ chỉ lum la hết, nhỏ xíu ko vừa chân bé 5 tháng, tiki giao hàng nên kiểm tra sp, 20k/1đôi mà ko đáng đồng tiền ngta bỏ ra, sp quâ tệ","['hàng', 'chân', '20k/1đôi', 'sp']","[('hàng', 'NEG'), ('chân', 'NEG'), ('20k/1đôi', 'NEG'), ('sp', 'NEG')]","[('hàng', 'sổ chỉ lum la hết,'), ('chân', 'nhỏ xíu ko vừa'), ('20k/1đôi', 'ko đáng đồng tiền'), ('sp', 'quâ tệ')]","[('hàng', 'sổ chỉ lum la hết,', 'NEG'), ('chân', 'nhỏ xíu ko vừa', 'NEG'), ('20k/1đôi', 'ko đáng đồng tiền', 'NEG'), ('sp', 'quâ tệ', 'NEG')]"
"Bút viết và vẽ đẹp , giống hình ,thiết kế vỏ bút đẹp , giao đúng màu . Giao hàng nhanh : đặt hồi Chủ nhật tuần trước mà thứ 3 tuần này đã có hàng về . Sẽ ủng hộ Tiki nhiều .","['Bút viết và vẽ', '<IA>', ',thiết kế vỏ bút', 'giao', 'Giao hàng']","[('Bút viết và vẽ', 'POS'), ('<IA>', 'POS'), (',thiết kế vỏ bút', 'POS'), ('giao', 'POS'), ('Giao hàng', 'POS')]","[('Bút viết và vẽ', 'đẹp'), ('<IA>', 'giống hình'), (',thiết kế vỏ bút', 'đẹp'), ('giao', 'đúng màu'), ('Giao hàng', 'nhanh')]","[('Bút viết và vẽ', 'đẹp', 'POS'), ('<IA>', 'giống hình', 'POS'), (',thiết kế vỏ bút', 'đẹp', 'POS'), ('giao', 'đúng màu', 'POS'), ('Giao hàng', 'nhanh', 'POS')]"
