text,label
"Nhan hàng dung hẹn , hop gọi ky , nhân viên giao hàng cực kỳ dễ thương","Nhan hàng dung hẹn , hop gọi ky , nhân viên giao hàng cực kỳ dễ thương####[([0, 1], [2, 3], 'POS'), ([5, 6], [7], 'POS'), ([9, 10, 11, 12], [13, 14, 15, 16], 'POS')]"
"Giao hàng đúng hạn, giá cả hợp lý. Lần sau sẽ ủng hộ Tiki nữa.","Giao hàng đúng hạn, giá cả hợp lý. Lần sau sẽ ủng hộ Tiki nữa.####[([0, 1], [2, 3], 'POS'), ([4, 5], [6, 7], 'POS'), ([13], [11, 12], 'POS')]"
"sản phẩm y hình, giao hàng nhanh, đóng gói kỹ. sẽ ủng hộ dài dài","sản phẩm y hình, giao hàng nhanh, đóng gói kỹ. sẽ ủng hộ dài dài####[([0, 1], [2, 3], 'POS'), ([4, 5], [6], 'POS'), ([7, 8], [9], 'POS'), ([], [11, 12, 13, 14], 'POS')]"
"mì thơm ngon, giá cả hợp lý, mới sản xuất, date xa","mì thơm ngon, giá cả hợp lý, mới sản xuất, date xa####[([0], [1, 2], 'POS'), ([3, 4], [5, 6], 'POS'), ([], [7, 8, 9], 'POS'), ([10], [11], 'POS')]"
Rất ngon. Tớ rất thích ăn omachi. Sẽ ủng hộ tiếp ah,"Rất ngon. Tớ rất thích ăn omachi. Sẽ ủng hộ tiếp ah####[([], [0, 1], 'POS'), ([6], [3, 4, 5], 'POS'), ([], [8, 9, 10], 'POS')]"
Mình đọc chưa tới 1/3 cuốn thì bị bong tróc keo và các trang sách bị rớt ra như hình Nội dung sách càng về sau càng hay nhưng nói ở quy mô doanh nghiệp và góc nhìn của những lí do tại sao vĩ đại. Chưa thấy khả năng áp dụng thực tế cho những người bình thường như mình cao,"Mình đọc chưa tới 1/3 cuốn thì bị bong tróc keo và các trang sách bị rớt ra như hình Nội dung sách càng về sau càng hay nhưng nói ở quy mô doanh nghiệp và góc nhìn của những lí do tại sao vĩ đại. Chưa thấy khả năng áp dụng thực tế cho những người bình thường như mình cao####[([10], [7, 8, 9], 'NEG'), ([12, 13, 14], [15, 16, 17], 'NEG'), ([20, 21, 22], [23, 24, 25, 26, 27], 'POS'), ([48, 49, 50, 51, 52, 53], [61], 'NEG')]"
"sách hay. Chất lượng. 1 số phần đầu thì bình thường, nhưng càng về sau càng hay. Phân tích nhiều ví dụ doanh nghiệp đổi mới thành công, với lý do- lý tưởng phục vụ mọi người. Điều nay truyền cảm hứng cho lãnh đạo, và toàn bộ nhân viên phục vụ, làm việc vì lý tưởng, và cảm thấy cuộc sống có ý nghĩa, hạnh phúc hơn.","sách hay. Chất lượng. 1 số phần đầu thì bình thường, nhưng càng về sau càng hay. Phân tích nhiều ví dụ doanh nghiệp đổi mới thành công, với lý do- lý tưởng phục vụ mọi người. Điều nay truyền cảm hứng cho lãnh đạo, và toàn bộ nhân viên phục vụ, làm việc vì lý tưởng, và cảm thấy cuộc sống có ý nghĩa, hạnh phúc hơn.####[([0], [1], 'POS'), ([], [2, 3], 'POS'), ([4, 5, 6, 7], [9, 10], 'NEU'), ([], [12, 13, 14, 15, 16], 'POS'), ([], [39, 40, 41], 'POS')]"
"Sách bìa cứng rất đẹp, được đóng gói cẩn thận. Biết đến tác giả Simon Sinek thông qua Tedex, xem video và audio book của Start with why rồi sau đó mới biết có bản dịch. Đọc sách và bạn sẽ vỡ ra được nhiều điều về lý do tại sao mình chưa thành công, dù là bất kỳ lĩnh vực gì.","Sách bìa cứng rất đẹp, được đóng gói cẩn thận. Biết đến tác giả Simon Sinek thông qua Tedex, xem video và audio book của Start with why rồi sau đó mới biết có bản dịch. Đọc sách và bạn sẽ vỡ ra được nhiều điều về lý do tại sao mình chưa thành công, dù là bất kỳ lĩnh vực gì.####[([0, 1, 2], [3, 4], 'POS'), ([6, 7], [8, 9], 'POS'), ([36, 37], [41, 42, 43, 44, 45], 'POS')]"
Sách hay nhưng đọc đến gần giữa sách bắt đầu bị bong keo các tờ giấy muốn rớt ra rồi Tiki ơi. Về điểm này thì không hài lòng,"Sách hay nhưng đọc đến gần giữa sách bắt đầu bị bong keo các tờ giấy muốn rớt ra rồi Tiki ơi. Về điểm này thì không hài lòng####[([0], [1], 'POS'), ([12], [10, 11], 'NEG'), ([12], [16, 17, 18], 'NEG'), ([13, 14, 15], [10, 11], 'NEG'), ([13, 14, 15], [16, 17, 18], 'NEG'), ([], [26, 27, 28], 'NEG')]"
1 cuốn sách rất hay về cách bạn có thể truyền cảm hứng đến mọi người để hành động một cách tự nguyện. Đó là hãy bắt đầu với câu hỏi Tại sao.,"1 cuốn sách rất hay về cách bạn có thể truyền cảm hứng đến mọi người để hành động một cách tự nguyện. Đó là hãy bắt đầu với câu hỏi Tại sao.####[([1, 2], [3, 4], 'POS')]"
"mình vừa nhận sách xong, lật trang cái bị như vậy luôn, ko biết sách thật hay sách giả mà dễ hư thế, có đổi miễn phí đc ko shop?","mình vừa nhận sách xong, lật trang cái bị như vậy luôn, ko biết sách thật hay sách giả mà dễ hư thế, có đổi miễn phí đc ko shop?####[([6], [8], 'NEG'), ([17], [20, 21], 'NEG'), ([24], [], 'NEU')]"
Sách mới mà rách nát như thế này!!!! Không thể nào mà chấp nhận kiểu làm ăn thiếu trách nhiệm như này,"Sách mới mà rách nát như thế này!!!! Không thể nào mà chấp nhận kiểu làm ăn thiếu trách nhiệm như này####[([0, 1], [3, 4], 'NEG'), ([14, 15, 16], [8, 9, 10, 11, 12, 13], 'NEG'), ([14, 15, 16], [17, 18, 19], 'NEG')]"
"Dài dòng, lan man, lập đi lập lại, có thể tóm gọn lại còn tầm 100-150 trang. Tuy nhiên nội dung ổn, có insights bổ ích.","Dài dòng, lan man, lập đi lập lại, có thể tóm gọn lại còn tầm 100-150 trang. Tuy nhiên nội dung ổn, có insights bổ ích.####[([], [0, 1], 'NEG'), ([], [2, 3], 'NEG'), ([], [4, 5, 6, 7], 'NEG'), ([19, 20], [21], 'POS'), ([23], [24, 25], 'POS')]"
Vừa mới nhận hàng sáng nay. Bìa sách trang trước bị giập/ méo phần gáy trên. Đề nghị tiki chú ý gói hàng cẩn thận hơn.,"Vừa mới nhận hàng sáng nay. Bìa sách trang trước bị giập/ méo phần gáy trên. Đề nghị tiki chú ý gói hàng cẩn thận hơn.####[([2, 3], [], 'NEU'), ([6, 7, 8, 9], [10, 11, 12], 'NEG'), ([14], [10, 11, 12], 'NEG'), ([21, 22], [23, 24, 25], 'NEG')]"
Quá hay và ý nghĩa! Luôn làm mới kiến thức đấy là điều bạn nhận thấy khi đọc cuốn sách này,"Quá hay và ý nghĩa! Luôn làm mới kiến thức đấy là điều  bạn nhận thấy khi đọc cuốn sách này####[([], [0, 1], 'POS'), ([], [3, 4], 'POS'), ([17], [6, 7, 8, 9], 'POS')]"
sách thì hay mà giá lại rẻ tiếc gì không mua. Giấy không được sáng lắm nhưng ổn.,"sách thì hay mà giá lại rẻ tiếc gì không mua. Giấy không được sáng lắm nhưng ổn.####[([0], [2], 'POS'), ([4], [6], 'POS'), ([11], [12, 13, 14, 15], 'NEG'), ([], [17], 'POS')]"
"Các trang sách bị dính nhau, mình phải tự rọc, tuột mood ghê","Các trang sách bị dính nhau, mình phải tự rọc, tuột mood ghê####[([1, 2], [3, 4, 5], 'NEG'), ([], [7, 8, 9], 'NEG'), ([], [10, 11, 12], 'NEG')]"
"Sách mới, không bị lỗi Nội dung hay. Đáng đọc với tất cả mọi người.","Sách mới, không bị lỗi Nội dung hay. Đáng đọc với tất cả mọi người.####[([0], [1], 'POS'), ([], [2, 3, 4], 'POS'), ([5, 6], [7], 'POS'), ([], [8, 9], 'POS')]"
"Sách phức tạp hoá từ ngữ, các dẫn chứng mang tính chung chung chưa thực sự thuyết phục","Sách phức tạp hoá từ ngữ, các dẫn chứng mang tính chung chung chưa thực sự thuyết phục####[([4, 5], [1, 2, 3], 'NEG'), ([6, 7, 8], [9, 10, 11, 12, 13, 14, 15, 16, 17], 'NEG')]"
"hàng sổ chỉ lum la hết, nhỏ xíu ko vừa chân bé 5 tháng, tiki giao hàng nên kiểm tra sp, 20k/ 1đôi mà ko đáng đồng tiền ngta bỏ ra, sp quâ tệ","hàng sổ chỉ lum la hết, nhỏ xíu ko vừa chân bé 5 tháng, tiki giao hàng nên kiểm tra sp, 20k/ 1đôi mà ko đáng đồng tiền ngta bỏ ra, sp quâ tệ####[([0], [1, 2, 3, 4], 'NEG'), ([], [6, 7, 8, 9], 'NEG'), ([14], [17, 18, 19, 20], 'NEG'), ([21, 22], [24, 25, 26, 27], 'NEG'), ([31], [32, 33], 'NEG')]"
Đồ y hình và rất hài lòng. bé mang vừa vắng và k bị tuột. cảm ơn tiki rất nhiu nà. Minh rất hay mua hàng của tiki và rất mong muôn tiki sẽ,"Đồ y hình và rất hài lòng. bé mang vừa vắng và k bị tuột. cảm ơn tiki rất nhiu nà. Minh rất hay mua hàng của tiki và rất mong muôn tiki sẽ####[([0], [1, 2], 'POS'), ([], [4, 5, 6], 'POS'), ([8], [9, 10], 'POS'), ([8], [12, 13, 14], 'POS')]"
"Nhận hàng thấy rất dễ thương, y hình. Chưa sử dụng nên chưa biết chất lượng thế nào. Tuy nhiên, với giá mềm như vậy, SP quá ok rồi","Nhận hàng thấy rất dễ thương, y hình. Chưa sử dụng nên chưa biết chất lượng thế nào. Tuy nhiên, với giá mềm như vậy, SP quá ok rồi####[([], [3, 4, 5], 'POS'), ([], [6, 7], 'POS'), ([9, 10], [8], 'NEU'), ([14, 15], [], 'NEU'), ([21], [22], 'POS'), ([25], [26, 27], 'POS')]"
đăng là 5 đôi mà giao hàng có 4 đôi from to bé mang rộng quá được cái giao hàng nhanh,"đăng là 5 đôi mà giao hàng có 4 đôi from to bé mang rộng quá được cái giao hàng nhanh####[([5, 6], [7, 8, 9], 'NEG'), ([10, 11], [14, 15], 'NEG'), ([18, 19], [20], 'POS')]"
"hàng đẹp , mẫu giao dễ thương , đóng gói cẩn thận sẽ ủng hộ tiki lần sau","hàng đẹp , mẫu giao dễ thương  , đóng gói cẩn thận sẽ ủng hộ tiki lần sau####[([0], [1], 'POS'), ([3], [5, 6], 'POS'), ([8, 9], [10, 11], 'POS'), ([15], [13, 14], 'POS')]"
Hài lòng về sản phẩm Sp tốt Hài lòng về sản phẩm Hài lòng về sản phẩm,"Hài lòng về sản phẩm Sp tốt Hài lòng về sản phẩm Hài lòng về sản phẩm####[([3, 4], [0, 1], 'POS'), ([5], [6], 'POS'), ([10, 11], [7, 8], 'POS'), ([15, 16], [12, 13], 'POS')]"
hàng đẹp. đúng hình. phù hợp cho trẻ sơ sinh tập đi,"hàng đẹp. đúng hình. phù hợp cho trẻ sơ sinh tập đi####[([0], [1], 'POS'), ([], [2, 3], 'POS'), ([], [4, 5], 'POS')]"
hàng đẹp . đóng gói cẩn thận. giao hàng nhanh . rất vừa ý.,"hàng đẹp . đóng gói cẩn thận. giao hàng nhanh . rất vừa ý.####[([0], [1], 'POS'), ([3, 4], [5, 6], 'POS'), ([7, 8], [9], 'POS'), ([], [11, 12, 13], 'POS')]"
"bé 5 tháng , 7kg đã mang chật rồi. Tiki giao hàng nhanh.","bé 5 tháng , 7kg đã mang chật rồi.  Tiki giao hàng nhanh.####[([6], [7], 'NEG'), ([9, 10, 11], [12], 'POS')]"
"Mình thích đặt tiki vì thường mình đặt khoảng 1-2 ngày là có. Còn khi đặt chay này từ ngày 25/12 đến 30/12 mới nhận được hàng. Khi nhận hàng mình nghe mùi là mình thấy gì không ổn, mở ra là mình nhận được như vậy :) . Dung dịch chảy tràn lang ướt cả vỏ hộp và cả phần miếng đệm chống sốc nữa :) . Mặc dù có dán thêm miếng đệm và băng keo để không bị chảy, nhưng mình thấy khâu này làm như cho có vì khi cầm lên là miếng băng keo đã sứt ra như ảnh. Dung dịch nó chảy tới mức còn động lại trên miếng băng keo. Còn phụ kiện móc khoá vẫn nhận đầy đủ. Shop nên xem lại vấn đề khâu vận chuyển, mặc dù mình biết lỗi để chảy dd là do lỗi của nhà sản xuất!","Mình thích đặt tiki vì thường mình đặt khoảng 1-2 ngày là có. Còn khi đặt chay này từ ngày 25/12 đến 30/12 mới nhận được hàng. Khi nhận hàng mình nghe mùi là mình thấy gì không ổn, mở ra là mình nhận được như vậy :) . Dung dịch chảy tràn lang ướt cả vỏ hộp và cả phần miếng đệm  chống sốc nữa :) . Mặc dù có dán thêm miếng đệm và băng keo để không bị chảy, nhưng mình thấy khâu này làm như cho có vì khi cầm lên là miếng băng keo đã sứt ra như ảnh. Dung dịch nó chảy tới mức còn động lại trên miếng băng keo. Còn phụ kiện móc khoá vẫn nhận đầy đủ. Shop nên xem lại vấn đề khâu vận chuyển, mặc dù mình biết lỗi để chảy dd là do lỗi của nhà sản xuất!####[([7], [8, 9, 10, 11, 12], 'POS'), ([24, 25, 26], [18, 19, 20, 21, 22, 23], 'NEG'), ([32], [37, 38], 'NEG'), ([49, 50], [51, 52, 53, 54], 'NEG'), ([85, 86], [87, 88, 89, 90], 'NEG'), ([96, 97, 98], [100, 101], 'NEG'), ([104, 105], [107], 'NEG'), ([118, 119, 120, 121], [123, 124, 125], 'POS'), ([132, 133, 134], [128, 129], 'NEG'), ([147, 148, 149], [145], 'NEG')]"
"Mình mua rất nhiều hàng của tiki lần nào cũng ưng ý nhưng lần này thì quá thất vọng, mình mua sản phẩm dung dịch vệ sinh của ý hàng nhập khẩu mà khi nhận hàng thì đã bị tháo ra như thế nào bịt miệng bằng ni lông nắp bao thì không thấy đâu chảy ra miệng ! Quá thất vọng","Mình mua rất nhiều hàng của tiki lần nào cũng ưng ý nhưng lần này thì quá thất vọng, mình mua sản phẩm dung dịch vệ sinh của ý hàng nhập khẩu mà khi nhận hàng thì đã bị tháo ra như thế nào bịt miệng bằng ni lông nắp bao thì không thấy đâu chảy ra miệng ! Quá thất vọng####[([], [10, 11], 'POS'), ([], [16, 17, 18], 'NEG'), ([29, 30, 31], [38, 39, 40], 'NEG'), ([49, 50], [52, 53, 54], 'NEG'), ([], [55, 56], 'NEG'), ([], [59, 60, 61], 'NEG')]"
Đã nhận được sp. Hương thơm dịu nhẹ. Đặc biệt Tiki đóng gói sp rất chắc chắn. Lần đầu mua cảm thấy khá hài lòng.,"Đã nhận được sp. Hương thơm dịu nhẹ. Đặc biệt Tiki đóng gói sp rất chắc chắn. Lần đầu mua cảm thấy khá hài lòng.####[([3], [], 'NEU'), ([4, 5], [6, 7], 'POS'), ([10, 11, 12, 13], [14, 15, 16], 'POS'), ([19], [22, 23, 24], 'POS')]"
Chưa biết tác dụng có hiệu quả hay không nhưng mà thấy dùng cũng ok mùi cũng ok. Để dùng 1 tgian đã nếu ok sẽ ủng hộ lại shop.,"Chưa biết tác dụng có hiệu quả hay không nhưng mà thấy dùng cũng ok mùi cũng ok. Để dùng 1 tgian đã nếu ok sẽ ủng hộ lại shop.####[([2, 3], [], 'NEU'), ([12], [13, 14], 'POS'), ([15], [16, 17], 'POS'), ([19], [], 'NEU'), ([29], [26, 27], 'NEU')]"
"tiki đóng gói cẩn thận. sản phẩm nhập khẩu, đã dùng thử rất thích. sẽ mua tiếp","tiki đóng gói cẩn thận. sản phẩm nhập khẩu, đã dùng thử rất thích. sẽ mua tiếp####[([0, 1, 2], [3, 4], 'POS'), ([10, 11], [12, 13], 'POS'), ([], [14, 15, 16], 'POS')]"
"Thơm sạch mát, dễ sử dụng, nhưng ko tặng kèm móc khoá, nắp chai lỏng là do nhà sản xuất.","Thơm sạch mát, dễ sử dụng, nhưng ko tặng kèm móc khoá, nắp chai lỏng là do nhà sản xuất.####[([], [0, 1, 2], 'POS'), ([4, 5], [3], 'POS'), ([10, 11], [7, 8, 9], 'NEG'), ([12, 13], [14], 'NEG')]"
"tiki cẩn thận dán keo sợ nắm chai bị bung , cứ nghĩ cho khách hàng là duyệt hết","tiki cẩn thận dán keo sợ nắm chai bị bung , cứ nghĩ cho khách hàng là duyệt hết####[([0], [1, 2, 3, 4], 'POS'), ([], [12, 13, 14, 15], 'POS')]"
sp giong hinh. giao hang rat nhanh. co kèm quà tặng. đóng gói kĩ. lan 2 mua hang cua shop. rat vua y.,"sp giong hinh. giao hang rat nhanh. co kèm quà tặng. đóng gói kĩ. lan 2 mua hang cua shop. rat vua y.####[([0], [1, 2], 'POS'), ([3, 4], [5, 6], 'POS'), ([9, 10], [7, 8], 'POS'), ([11, 12], [13], 'POS'), ([16, 17], [], 'NEU'), ([], [20, 21, 22], 'POS')]"
Dép đẹp đi rất vừa vặn k chê vào đâu đc. Tuy là đôi dép cao su nhưng vẫn có hộp đựng và có ghi chú lịch sử ra đời. Hộp đựng chắc chắn.,"Dép đẹp đi rất vừa vặn k chê vào đâu đc. Tuy là đôi dép cao su nhưng vẫn có hộp đựng và có ghi chú lịch sử ra đời. Hộp đựng chắc chắn.####[([0], [1], 'POS'), ([2], [3, 4, 5], 'POS'), ([], [6, 7, 8, 9, 10], 'POS'), ([20, 21], [19], 'POS'), ([30, 31], [32, 33], 'POS')]"
Không chất. So với giá cả bỏ ra thì hơi thất vọng. Ngoài ra đi bị ngưa chân. Chán chết.,"Không chất. So với giá cả bỏ ra thì hơi thất vọng. Ngoài ra đi bị ngưa chân. Chán chết.####[([], [0, 1], 'NEG'), ([4, 5], [9, 10, 11], 'NEG'), ([14], [15, 16, 17], 'NEG'), ([], [18, 19], 'NEG')]"
"Hơi nhỏ so với size chân mình xíu nhưng vẫn mang vừa. Dép dáng gọn, ôm chân","Hơi nhỏ so với size chân mình xíu nhưng vẫn mang vừa. Dép dáng gọn, ôm chân####[([4], [0, 1], 'NEG'), ([10], [11], 'POS'), ([12], [13, 14], 'POS'), ([], [15, 16], 'POS')]"
Nhìn mặt trăng cực đẹp luôn. Nói chung kính chất lượng tốt,"Nhìn mặt trăng cực đẹp luôn. Nói chung kính chất lượng tốt####[([0, 1, 2], [3, 4], 'POS'), ([8], [9, 10, 11], 'POS')]"
"Chất lượng vải không được như mong đợi, tuyết bị rụng nhiều. Giá thành cạnh tranh so với sản phẩm cùng loại của NCC khác.","Chất lượng vải không được như mong đợi, tuyết bị rụng nhiều. Giá thành cạnh tranh so với sản phẩm cùng loại của NCC khác.####[([0, 1, 2], [3, 4, 5, 6, 7], 'NEG'), ([8], [9, 10, 11], 'NEG'), ([12, 13], [14, 15], 'POS')]"
Khăn hơi mỏng! Nhưng vẫn hút nước tốt ! Chúc shop luôn giữ dc uy tính tốt,"Khăn hơi mỏng! Nhưng vẫn hút nước tốt ! Chúc shop luôn giữ dc uy tính tốt####[([0], [1, 2], 'NEG'), ([5, 6], [7], 'POS'), ([10], [11, 12, 13, 14, 15, 16], 'POS')]"
"Sản phẩm tốt. Tuy nhiên mình bị chậm hoá đơn, đã gần 1 tháng nhưng vẫn chưa nhận được, nhà cung cấp vui lòng chuyển về giúp mình với ạ, Tks.","Sản phẩm tốt. Tuy nhiên mình bị chậm hoá đơn, đã gần 1 tháng nhưng vẫn chưa nhận được, nhà cung cấp vui lòng chuyển về giúp mình với ạ, Tks.####[([0, 1], [2], 'POS'), ([8, 9], [6, 7], 'NEG'), ([], [15, 16, 17, 18], 'NEG')]"
mua có 1 cái quần à mà cũng giao nhầm mẫu nữa. chán ghê... cái quần mẫu có viền trắng và có bo 2 ống quần... quần giao thực tế đen thui trơn nùi... khác nhau rõ ràng vàng cũng giao. làm ăn oãi za.,"mua có 1 cái quần à mà cũng giao nhầm mẫu nữa. chán ghê... cái quần mẫu có viền trắng và có bo 2 ống quần... quần giao thực tế đen thui trơn nùi... khác nhau rõ ràng vàng cũng giao. làm ăn oãi za.####[([10], [8, 9], 'NEG'), ([], [12, 13], 'NEG'), ([26, 27, 28, 29], [30, 31, 32, 33], 'NEG'), ([], [34, 35, 36], 'NEG'), ([41, 42], [43, 44], 'NEG')]"
"SHOP XEM LẠI DÙM MÌNH, MÌNH VỪA NHẬN ĐƯỢC HÀNG, BỊ NHẦM QUẦN RỒI THÌ PHẢI","SHOP XEM LẠI DÙM MÌNH, MÌNH VỪA  NHẬN ĐƯỢC HÀNG, BỊ NHẦM QUẦN RỒI THÌ PHẢI####[([0], [1, 2, 3, 4], 'NEU'), ([12], [10, 11], 'NEG')]"
"chát thun dãn mát, tập thoải mái, có điều size quần hơi bự nên phải lưu ý chọn size, với chắc do dáng mình đẹp sẵn nên mặc cái gì cũng thấy đẹp. ahihj","chát thun dãn mát, tập thoải mái, có điều size quần hơi bự nên phải lưu ý chọn size, với chắc do dáng mình đẹp sẵn nên mặc cái gì cũng thấy đẹp. ahihj####[([0, 1], [2, 3], 'POS'), ([4], [5, 6], 'POS'), ([9, 10], [11, 12], 'NEG')]"
"Quần mặc mát, thoải mái, dáng đẹp. Cảm ơn shop nhé.","Quần mặc mát, thoải mái, dáng đẹp. Cảm ơn shop nhé.####[([1], [2], 'POS'), ([], [3, 4], 'POS'), ([5], [6], 'POS'), ([9], [7, 8], 'POS')]"
"Máy giặt đóng 3 lớp trong thùng carton, thùng xốp, và cuối cùng là bọc nilon. vậy mà khi tháo bọc nilon ra, thì toàn bộ máy giặt đầy bụi dơ, cả 4 phía xung quanh, trên dưới. Thắc mắc thì nhân viên giao hàng nói do để lâu trong kho. Nhưng mình cứ phân vân mãi, dù để đâu, thì đóng gói như này, sao có bụi được? Phải chăng là hàng trưng bày, hay hàng cũ đóng gói lại rồi đem giao cho khách?","Máy giặt đóng 3 lớp trong thùng carton, thùng xốp, và cuối cùng là bọc nilon. vậy mà khi tháo bọc nilon ra, thì toàn bộ máy giặt đầy bụi dơ, cả 4 phía xung quanh, trên dưới. Thắc mắc thì nhân viên giao hàng nói do để lâu trong kho. Nhưng mình cứ phân vân mãi, dù để đâu, thì đóng gói như này, sao có bụi được? Phải chăng là hàng trưng bày, hay hàng cũ đóng gói lại rồi đem giao cho khách?####[([26, 27], [28, 29, 30], 'NEG'), ([41, 42, 43, 44], [45, 46, 47, 48, 49, 50], 'NEU'), ([61, 62], [65, 66, 67, 68], 'NEG'), ([72, 73, 74], [69, 70, 71], 'NEG'), ([76], [77], 'NEG')]"
"ko thấy giao phiếu bảo hành, nếu hư ko biết bảo hành thế nào luôn","ko thấy giao phiếu bảo hành, nếu hư ko biết bảo hành thế nào luôn####[([2, 3, 4, 5], [0, 1], 'NEG'), ([10, 11], [7, 8, 9], 'NEG')]"
"mùi vị khá hắc và nồng, cảm giác rất ngấy vì miếng snack vẫn còn dầu","mùi vị khá hắc và nồng, cảm giác rất ngấy vì miếng snack vẫn còn dầu####[([0, 1], [2, 3], 'NEG'), ([0, 1], [5], 'NEG'), ([6, 7], [8, 9], 'NEG'), ([11, 12], [13, 14, 15], 'NEG')]"
